Gene	ENSEMBL	median (tumor)	median (normal)	log2FC	adj.p.val	Rank
CHMP1B	ENSG00000255112.2	25.235	23.575	0.094	0.174	0.7594507517174
CHMP1B2P	ENSG00000278530.4	0.335	1.025	-0.601	1.63E-35	-34.787812395596
CHMP2A	ENSG00000130724.8	194.239	132.899	0.544	5.09E-44	43.2932822176632
CHMP2B	ENSG00000083937.8	30.419	27.899	0.121	0.618	0.209011524911184
CHMP3	ENSG00000115561.14	84.761	63.175	0.418	2.34E-07	6.63078414258986
CHMP4A	ENSG00000254505.8	74.663	89.504	-0.258	1.09E-08	-7.96257350205938
CHMP4B	ENSG00000101421.3	122.5	102.764	0.251	2.16E-08	7.66554624884907
CHMP4BP1	ENSG00000258469.1	0.61	2.499	-1.12	8.91E-50	-49.0501222959631
CHMP4C	ENSG00000164695.4	20.594	8.27	1.22	2.03E-56	55.6925039620868
CHMP5	ENSG00000086065.13	73.84	56.067	0.391	5.09E-05	4.29328221766324
CHMP6	ENSG00000176108.9	19.76	20.774	-0.069	0.195	-0.709965388637482
CHMP7	ENSG00000147457.13	20.07	23.94	-0.243	1.91E-13	-12.7189666327523
CHN1	ENSG00000128656.13	7.495	11.76	-0.587	4.41E-21	-20.3555614105322
CHN2	ENSG00000106069.20	8.09	5.875	0.403	7.28E-06	5.13786862068696
CHODL	ENSG00000154645.13	1.095	1.585	-0.303	1.33E-07	-6.87614835903291
CHORDC1	ENSG00000110172.11	16.18	18.65	-0.194	0.00266	-2.57511836336893
CHP1	ENSG00000187446.11	48.341	30.479	0.648	1.27E-18	17.896196279044
CHP2	ENSG00000166869.2	0.335	2.275	-1.295	4.28E-48	-47.3685562309868
CHPF	ENSG00000123989.13	83.198	62.439	0.408	1.95E-13	12.7099653886375
CHPF2	ENSG00000033100.14	26.18	21.125	0.297	2.91E-11	10.5361070110141
CHPT1	ENSG00000111666.10	40.025	43.036	-0.102	0.0575	-1.24033215531037
CHRAC1	ENSG00000104472.9	16.08	13.595	0.227	0.00152	2.81815641205523
CHRD	ENSG00000090539.15	3.665	12.155	-1.496	7.49E-25	-24.1255181823005
CHRDL1	ENSG00000101938.14	17.19	47.454	-1.413	6.33E-27	-26.1985962899826
CHRDL2	ENSG00000054938.15	3.53	6.614	-0.749	3.22E-12	-11.4921441283042
CHRFAM7A	ENSG00000166664.13	0.275	0.96	-0.62	3.11E-58	-57.5072396109732
CHRM1	ENSG00000168539.3	33.335	22.005	0.578	1.18E-12	11.9281179926939
CHRM2	ENSG00000181072.11	0	0.07	-0.098	3.31E-14	-13.4801720062243
CHRM3	ENSG00000133019.11	1.725	0.825	0.578	2.13E-06	5.67162039656126
CHRM3-AS2	ENSG00000233355.6	0.15	0.41	-0.294	5.34E-18	-17.2724587429714
CHRM4	ENSG00000180720.7	0.07	0.06	0.014	0.602	0.220403508742175
CHRM5	ENSG00000184984.9	0.05	0.08	-0.041	0.331	-0.480172006224281
CHRNA1	ENSG00000138435.14	0.12	0.04	0.107	0.404	0.393618634889395
CHRNA10	ENSG00000129749.3	0.46	1.619	-0.843	1.01E-51	-50.9956786262174
CHRNA2	ENSG00000120903.10	35.355	18.485	0.9	1.24E-18	17.9065783148378
CHRNA3	ENSG00000080644.15	0.21	0.26	-0.058	0.164	-0.785156151952302
CHRNA4	ENSG00000101204.15	0.02	0.1	-0.109	1.9E-27	-26.7212463990472
CHRNA5	ENSG00000169684.13	3.42	1.24	0.981	2.83E-31	30.5482135644757
CHRNA6	ENSG00000147434.8	0.03	0	0.043	0.00176	2.75448733218585
CHRNA7	ENSG00000175344.16	0.4	1.145	-0.616	8.28E-21	-20.0819696632151
CHRNB1	ENSG00000170175.10	3.7	5.275	-0.417	7.83E-21	-20.1062382379421
CHRNB2	ENSG00000160716.4	0.02	0.05	-0.042	0.192	-0.71669877129645
CHRNB4	ENSG00000117971.11	0.01	0.03	-0.028	1.11E-06	-5.95467702121334
CHRNE	ENSG00000108556.7	0.35	0.74	-0.366	2.66E-46	-45.5751183633689
CHRNG	ENSG00000196811.11	0.01	0.02	-0.014	0.0419	-1.3777859770337
CHST1	ENSG00000175264.7	0.55	1.445	-0.658	8.95E-46	-45.0481769646841
CHST10	ENSG00000115526.10	9.38	6.629	0.444	3.65E-20	19.4377071355435
CHST11	ENSG00000171310.10	1.78	3.585	-0.722	2.45E-33	-32.6108339156355
CHST12	ENSG00000136213.9	11.105	13.125	-0.223	5.13E-10	-9.28988263488818
CHST14	ENSG00000169105.7	19.765	15.515	0.33	9.66E-09	8.01502287358451
CHST15	ENSG00000182022.17	3.82	9.095	-1.067	8.28E-43	-42.0819696632151
CHST2	ENSG00000175040.5	2.305	7.47	-1.358	6.19E-52	-51.2083093509799
CHST3	ENSG00000122863.5	3.095	9.2	-1.317	2.6E-67	-66.5850266520292
CHST4	ENSG00000140835.9	0.03	0.095	-0.088	1.18E-35	-34.9281179926939
CHST5	ENSG00000135702.14	0.085	0.17	-0.109	3.85E-15	-14.4145392704915
CHST6	ENSG00000183196.8	0.09	0.32	-0.276	2.23E-38	-37.6516951369518
CHST7	ENSG00000147119.3	1.51	2.955	-0.656	1.7E-42	-41.7695510786217
CHST8	ENSG00000124302.12	1.2	0.805	0.285	4.14E-10	9.3829996588791
CHST9	ENSG00000154080.12	1	2.04	-0.604	1.7E-09	-8.76955107862173
CHSY1	ENSG00000131873.5	16.85	14.835	0.173	0.75	0.1249387366083
CHSY3	ENSG00000198108.3	0.26	0.345	-0.094	8.01E-05	-4.09636748391576
CHTF18	ENSG00000127586.16	6.83	9.57	-0.433	0.17	-0.769551078621726
CHTF8	ENSG00000168802.12	72.333	64.041	0.173	0.0338	1.47108329972235
CHTOP	ENSG00000160679.12	47.154	54.125	-0.195	2.55E-10	-9.59345981956604
CHUK	ENSG00000213341.10	8.065	8.535	-0.073	0.0931	-1.03105031901866
CHURC1	ENSG00000258289.7	35.175	28.635	0.288	1.36E-09	8.86646109162978
CHURC1-FNTB	ENSG00000125954.12	0.47	0.25	0.234	6.7E-07	6.17392519729917
CIAO1	ENSG00000144021.2	31.885	31.3	0.026	0.0955	1.01999662841625
CIAPIN1	ENSG00000005194.14	26.98	24.37	0.141	0.371	0.430626090384954
CIAPIN1P	ENSG00000263846.1	0.07	0.05	0.027	0.0108	1.96657624451305
CIART	ENSG00000159208.15	4.05	8.74	-0.948	3.87E-34	-33.4122890349811
CIB1	ENSG00000185043.10	196.719	128.421	0.611	1.02E-25	24.9913998282381
CIB2	ENSG00000136425.12	7.905	11.615	-0.502	3.14E-11	-10.5030703519268
CIB3	ENSG00000141977.9	0.05	0	0.07	6.18E-07	6.20901152491118
CIB4	ENSG00000157884.10	0.14	0.25	-0.133	0.0166	-1.77989191195995
CIC	ENSG00000079432.7	23.66	40.239	-0.742	3.53E-44	-43.4522252946122
CICP13	ENSG00000234419.1	0.01	0	0.014	0.000235	3.62893213772826
CICP14	ENSG00000281490.1	2.685	6.885	-1.097	1.75E-34	-33.7569619513137
CICP16	ENSG00000248213.3	0.08	0.17	-0.115	1.78E-24	-23.7495799976911
CICP22	ENSG00000226220.1	0	0.03	-0.043	6.25E-17	-16.2041199826559
CICP27	ENSG00000233750.3	0.46	0.64	-0.168	1.36E-12	-11.8664610916298
CICP3	ENSG00000229376.3	0.04	0.095	-0.074	6.87E-20	-19.1630432629404
CICP4	ENSG00000232852.1	0	0.03	-0.043	6.08E-12	-11.2160964207273
CIDEA	ENSG00000176194.17	0	0.07	-0.098	4.58E-09	-8.33913452199613
CIDEB	ENSG00000136305.11	4.755	10.179	-0.958	1.52E-60	-59.8181564120552
CIDEC	ENSG00000187288.10	0.1	0.76	-0.678	9.18E-55	-54.0371573187988
CIDECP	ENSG00000186162.10	8.855	14.14	-0.619	5.67E-56	-55.2464169411071
CIITA	ENSG00000179583.17	1.985	3.845	-0.699	3.05E-18	-17.5157001606532
CILP	ENSG00000138615.5	0.455	1.2	-0.596	3.25E-30	-29.4881166390211
CILP2	ENSG00000160161.9	0.425	0.27	0.166	9.48E-08	7.02319166266193
CINP	ENSG00000100865.14	34.195	22.125	0.606	3.66E-58	57.4365189146056
CIPC	ENSG00000198894.7	17.63	18.565	-0.071	0.000948	-3.02319166266193
CIR1	ENSG00000138433.15	25.92	29.395	-0.175	4.47E-07	-6.34969247686806
CIRBP	ENSG00000099622.13	488.782	560.297	-0.197	0.000688	-3.16241156176449
CIRBP-AS1	ENSG00000267493.3	1.575	1.12	0.28	6.66E-11	10.1765257708297
CIRH1A	ENSG00000141076.17	16.26	18.265	-0.159	3.49E-06	-5.45717457304082
CISD1	ENSG00000122873.11	22.455	20.674	0.114	0.0224	1.64975198166584
CISD2	ENSG00000145354.9	18.87	10.964	0.732	4.46E-35	34.3506651412879
CISD3	ENSG00000277972.1	57.649	35.735	0.675	4.9E-36	35.3098039199715
CISH	ENSG00000114737.15	4.9	6.735	-0.391	6.14E-16	-15.2118316288588
CIT	ENSG00000122966.13	0.785	0.83	-0.036	0.0465	-1.33254704711005
CITED1	ENSG00000125931.10	6.655	9.504	-0.456	0.0706	-1.1511952989482
CITED2	ENSG00000164442.9	52.276	37.428	0.471	3.43E-06	5.46470587995723
CITED4	ENSG00000179862.6	9.11	15.89	-0.74	1.11E-25	-24.9546770212133
CITF22-1A6.3	ENSG00000273192.1	3.67	4.09	-0.124	0.555	-0.255707016877324
CITF22-49E9.3	ENSG00000278869.1	0.44	0.47	-0.03	0.462	-0.335358024443874
CITF22-92A6.1	ENSG00000273145.1	2.71	2.125	0.248	7.75E-16	15.1106982974937
CITF22-92A6.2	ENSG00000280424.1	0.06	0.12	-0.079	2.16E-08	-7.66554624884907
CIZ1	ENSG00000148337.19	59.204	77.361	-0.38	3.55E-18	-17.4497716469449
CKAP2	ENSG00000136108.14	4.92	3.51	0.393	7.38E-07	6.13194363817696
CKAP2L	ENSG00000169607.12	0.32	0.145	0.205	8.08E-11	10.0925886392254
CKAP4	ENSG00000136026.13	56.148	33.815	0.715	6.9E-35	34.1611509092627
CKAP5	ENSG00000175216.14	25.599	20.03	0.339	0.000278	3.55595520408192
CKB	ENSG00000166165.12	931.846	1014.884	-0.123	0.0458	-1.33913452199613
CKLF	ENSG00000217555.12	20.269	18.06	0.158	0.000175	3.75696195131371
CKLF-CMTM1	ENSG00000254788.6	0.58	0.91	-0.274	7.32E-18	-17.1354889189416
CKM	ENSG00000104879.4	0.99	6.075	-1.83	8.04E-19	-18.0947439512515
CKMT1A	ENSG00000223572.9	8.99	5.7	0.576	3.32E-06	5.47886191629596
CKMT1B	ENSG00000237289.9	10.63	6.23	0.686	1.43E-11	10.8446639625349
CKMT2	ENSG00000131730.15	2.5	5.66	-0.928	3.08E-29	-28.5114492834996
CKMT2-AS1	ENSG00000247572.7	5.005	7.265	-0.461	5.74E-23	-22.241088107602
CKS1B	ENSG00000173207.12	30.455	29.909	0.025	0.727	0.138465589140962
CKS1BP3	ENSG00000268942.2	2.57	0	1.836	9.4E-18	17.0268721464003
CKS2	ENSG00000123975.4	28.68	14.879	0.902	7.91E-39	38.1018235165023
CLASP1	ENSG00000074054.17	9.655	13.51	-0.446	2.38E-14	-13.6234230429435
CLASP2	ENSG00000163539.15	11.415	13.4	-0.214	3.79E-07	-6.42136079003193
CLASRP	ENSG00000104859.14	31.925	114.178	-1.807	1.06E-48	-47.9746941347352
CLCA1	ENSG00000016490.15	0	0.01	-0.014	0.463	-0.334419008982047
CLCA2	ENSG00000137975.7	0.15	0.855	-0.69	7.2E-25	-24.1426675035687
CLCA4	ENSG00000016602.9	0.16	0.755	-0.597	6.29E-18	-17.2013493545547
CLCC1	ENSG00000121940.15	21.98	18.72	0.221	1.23E-06	5.9100948885606
CLCF1	ENSG00000175505.10	3.215	4.905	-0.486	1.19E-06	-5.92445303860747
CLCN1	ENSG00000188037.10	0.02	0.06	-0.055	6.72E-12	-11.1726307269462
CLCN2	ENSG00000114859.14	3.52	4.795	-0.358	4.95E-09	-8.30539480106643
CLCN3	ENSG00000109572.13	34.185	16.468	1.01	2.21E-26	25.6556077263149
CLCN3P1	ENSG00000232000.2	0.01	0	0.014	0.466	0.33161408331
CLCN4	ENSG00000073464.11	0.97	0.785	0.142	0.123	0.910094888560602
CLCN5	ENSG00000171365.15	1.13	1.415	-0.181	0.000109	-3.96257350205938
CLCN6	ENSG00000011021.21	4.835	13.575	-1.321	1.02E-55	-54.9913998282381
CLCN7	ENSG00000103249.17	36.125	53.18	-0.545	1.73E-16	-15.7619538968712
CLCNKA	ENSG00000186510.11	0.35	0.88	-0.478	1.76E-26	-25.7544873321859
CLCNKB	ENSG00000184908.17	0.23	0.635	-0.411	3.63E-41	-40.4400933749639
CLDN1	ENSG00000163347.5	9.2	9.86	-0.09	0.00322	-2.49214412830417
CLDN10	ENSG00000134873.9	0.82	0.86	-0.031	0.746	-0.127261172527331
CLDN11	ENSG00000013297.10	4.23	12.299	-1.346	6.84E-55	-54.1649438982799
CLDN12	ENSG00000157224.15	23.455	15.519	0.566	1.68E-11	10.7746907182741
CLDN14	ENSG00000159261.10	0.09	0.21	-0.151	2.78E-10	-9.55595520408192
CLDN15	ENSG00000106404.13	4.1	10.514	-1.175	3E-40	-39.5228787452803
CLDN16	ENSG00000113946.3	0.09	0.185	-0.121	5.01E-12	-11.3001622741328
CLDN18	ENSG00000066405.12	0.02	0.145	-0.167	2.49E-38	-37.6038006529043
CLDN19	ENSG00000164007.10	0.02	0.09	-0.096	7.47E-24	-23.1266793981846
CLDN2	ENSG00000165376.10	0.03	0.07	-0.055	4.54E-07	-6.3429441471429
CLDN20	ENSG00000171217.5	0.05	0.13	-0.106	4.71E-28	-27.3269790928711
CLDN22	ENSG00000177300.6	0	0.05	-0.07	2.11E-06	-5.67571754470231
CLDN23	ENSG00000253958.1	1.69	1.44	0.141	0.0116	1.93554201077308
CLDN3	ENSG00000165215.6	247.476	61.765	1.985	4.81E-77	76.3178549236262
CLDN34	ENSG00000234469.4	0.1	0.12	-0.026	0.000108	-3.96657624451305
CLDN4	ENSG00000189143.9	242.173	97.153	1.309	1.03E-39	38.9871627752948
CLDN5	ENSG00000184113.9	10.395	30.37	-1.461	4.11E-41	-40.3861581781239
CLDN7	ENSG00000181885.18	104.858	49.805	1.059	9.95E-21	20.0021769192543
CLDN8	ENSG00000156284.5	28.51	5.115	2.271	1.48E-57	56.829738284605
CLDN9	ENSG00000213937.3	0.12	0.22	-0.123	1.42E-06	-5.84771165561694
CLDND1	ENSG00000080822.16	35.545	52.01	-0.537	7.57E-26	-25.1209041204999
CLDND2	ENSG00000160318.6	2.095	3.395	-0.506	1.54E-07	-6.81247927916354
CLEC10A	ENSG00000132514.13	2.14	2.685	-0.231	0.0177	-1.75202673363819
CLEC11A	ENSG00000105472.12	9.95	14.049	-0.459	3.41E-16	-15.4672456210075
CLEC12A	ENSG00000172322.13	0.4	0.88	-0.425	1.07E-18	-17.9706162223148
CLEC12B	ENSG00000256660.5	0.01	0.07	-0.083	4.47E-38	-37.3496924768681
CLEC14A	ENSG00000176435.6	6.375	11.635	-0.777	3.99E-21	-20.3990271043132
CLEC16A	ENSG00000038532.14	7.3	11.185	-0.554	4.51E-34	-33.345823458122
CLEC17A	ENSG00000187912.11	0.06	0.07	-0.014	0.248	-0.605548319173784
CLEC18A	ENSG00000157322.16	0.44	0.6	-0.152	9.72E-08	-7.01233373507373
CLEC18B	ENSG00000140839.11	0.695	0.705	-0.009	0.633	-0.198596289982645
CLEC18C	ENSG00000157335.19	0.15	0.14	0.013	0.908	0.041914151478915
CLEC1A	ENSG00000150048.10	1.305	3.815	-1.063	8.52E-57	-56.0695604052333
CLEC1B	ENSG00000165682.14	0	0.02	-0.029	1.98E-08	-7.70333480973847
CLEC2B	ENSG00000110852.4	2.85	7.485	-1.14	8.91E-47	-46.0501222959631
CLEC2D	ENSG00000069493.14	2.195	8.63	-1.592	6.78E-61	-60.1687703061329
CLEC2L	ENSG00000236279.6	0.01	0.02	-0.014	0.439	-0.357535479757879
CLEC3A	ENSG00000166509.10	0.14	0.18	-0.05	0.11	-0.958607314841775
CLEC3B	ENSG00000163815.5	10.47	25.93	-1.231	6.91E-25	-24.1605219526258
CLEC4A	ENSG00000111729.12	1.47	2.96	-0.681	3.11E-32	-31.5072396109732
CLEC4D	ENSG00000166527.7	0.02	0.06	-0.055	3.15E-09	-8.5016894462104
CLEC4E	ENSG00000166523.7	0.705	1.36	-0.469	2.79E-13	-12.5543957967264
CLEC4F	ENSG00000152672.7	0.265	0.64	-0.375	9.92E-31	-30.0034883278458
CLEC4G	ENSG00000182566.12	0.05	0.15	-0.131	5.41E-15	-14.2668027348934
CLEC4GP1	ENSG00000268297.1	0	0.05	-0.07	2.71E-21	-20.5670307091256
CLEC4M	ENSG00000104938.16	0.01	0.125	-0.156	1.94E-25	-24.7121982700698
CLEC5A	ENSG00000258227.6	0.21	0.5	-0.31	5.34E-24	-23.2724587429714
CLEC7A	ENSG00000172243.17	1.505	2.97	-0.664	1.93E-18	-17.7144426909922
CLEC9A	ENSG00000197992.6	0.28	0.31	-0.033	0.00649	-2.18775530319963
CLECL1	ENSG00000184293.7	0.31	0.405	-0.101	0.102	-0.991399828238082
CLGN	ENSG00000153132.12	19.7	7.93	1.213	3.66E-25	24.4365189146056
CLHC1	ENSG00000162994.15	4.53	10.47	-1.053	1.3E-40	-39.8860566476932
CLIC1	ENSG00000213719.8	404.781	251.226	0.686	1.92E-51	50.7166987712965
CLIC1P1	ENSG00000231313.2	0.04	0.03	0.014	0.0813	1.08990945440593
CLIC2	ENSG00000155962.12	2.12	3.36	-0.483	7.3E-16	-15.1366771398795
CLIC3	ENSG00000169583.12	1.705	4.02	-0.892	1.71E-27	-26.7670038896078
CLIC4	ENSG00000169504.14	37.465	60.216	-0.67	1.67E-23	-22.7772835288524
CLIC5	ENSG00000112782.15	0.845	1.27	-0.299	1.98E-07	-6.70333480973847
CLIC6	ENSG00000159212.12	2.37	8.46	-1.489	4.46E-65	-64.3506651412879
CLINT1	ENSG00000113282.13	32.61	31.534	0.047	0.304	0.517126416391246
CLIP1	ENSG00000130779.19	23.705	26.475	-0.153	1.47E-05	-4.83268266525182
CLIP1-AS1	ENSG00000257097.1	0.01	0.02	-0.014	9.84E-05	-4.00700490156866
CLIP2	ENSG00000106665.15	4.195	9.48	-1.012	1.15E-57	-56.9393021596464
CLIP3	ENSG00000105270.14	7.285	22.73	-1.518	5.07E-61	-60.2949920406667
CLIP4	ENSG00000115295.19	4.84	15.39	-1.489	1.72E-77	-76.7644715530925
CLK1	ENSG00000013441.15	77.323	194.118	-1.317	6.11E-35	-34.2139587897574
CLK2	ENSG00000176444.18	24.57	65.091	-1.37	9.38E-50	-49.0277971616209
CLK2P1	ENSG00000232553.3	0	0.03	-0.043	2.58E-27	-26.5883802940368
CLK3	ENSG00000179335.18	47.29	71.426	-0.585	8.63E-39	-38.0639892042848
CLK3P2	ENSG00000226191.3	0.03	0	0.043	0.00884	2.05354773498693
CLK4	ENSG00000113240.12	10.995	23.49	-1.03	1.01E-48	-47.9956786262174
CLMN	ENSG00000165959.11	6.78	12.135	-0.756	2.61E-23	-22.5833594926617
CLMP	ENSG00000166250.11	1.635	5.63	-1.331	2.59E-60	-59.5867002359188
CLN3	ENSG00000261832.4	0.56	0.375	0.182	3.99E-11	10.3990271043133
CLN5	ENSG00000102805.13	18.46	19.335	-0.063	0.00166	-2.77989191195994
CLN6	ENSG00000128973.11	22.375	18.12	0.29	1.94E-22	21.7121982700698
CLN8	ENSG00000182372.7	7.11	5.3	0.364	4.56E-06	5.34103515733557
CLNK	ENSG00000109684.14	0.11	0.095	0.02	0.000352	3.45345733652187
CLNS1A	ENSG00000074201.8	87.887	56.17	0.637	4.55E-35	34.3419886033429
CLOCK	ENSG00000134852.14	5.395	5.41	-0.003	0.286	-0.543633966870957
CLP1	ENSG00000172409.5	7.09	5.125	0.401	4.08E-18	17.3893398369101
CLPB	ENSG00000162129.12	6.995	4.305	0.592	1.08E-36	35.966576244513
CLPP	ENSG00000125656.8	81.574	52.806	0.618	2.87E-58	57.542118103266
CLPS	ENSG00000137392.9	0	1.11	-1.077	2.91E-67	-66.5361070110141
CLPTM1	ENSG00000104853.15	100.248	85.936	0.22	9.82E-09	8.00788851221305
CLPTM1L	ENSG00000049656.13	108.71	71.791	0.592	3.78E-49	48.4225082001628
CLPX	ENSG00000166855.9	16.26	14.515	0.154	0.0954	1.0204516252959
CLRN1-AS1	ENSG00000239265.5	0.01	0.04	-0.042	1.76E-15	-14.7544873321859
CLRN3	ENSG00000180745.4	0.02	0	0.029	0.0583	1.23433144524099
CLSPN	ENSG00000092853.13	0.26	0.155	0.126	5.04E-06	5.29756946355448
CLSTN1	ENSG00000171603.16	159.924	106.303	0.585	6.74E-32	31.1713401034647
CLSTN2	ENSG00000158258.15	0.465	1.02	-0.463	5.59E-07	-6.25258819211358
CLSTN2-AS1	ENSG00000250433.1	0	0.015	-0.021	9.24E-07	-6.03432802877989
CLSTN3	ENSG00000139182.13	11.955	15.854	-0.38	2.69E-13	-12.5702477199976
CLTA	ENSG00000122705.16	191.718	156.443	0.292	1.61E-26	25.7931741239681
CLTB	ENSG00000175416.12	72.403	83.109	-0.196	1.02E-09	-8.99139982823808
CLTC	ENSG00000141367.11	152.524	93.25	0.704	4.52E-33	32.3448615651886
CLTCL1	ENSG00000070371.15	3.01	5.395	-0.673	1.1E-19	-18.9586073148418
CLU	ENSG00000120885.19	429.554	904.639	-1.073	3.74E-28	-27.4271283977995
CLUAP1	ENSG00000103351.12	18.45	16.505	0.152	0.099	1.00436480540245
CLUH	ENSG00000132361.16	23.935	32.248	-0.415	4.02E-15	-14.3957739469155
CLUHP3	ENSG00000131797.12	3.56	9.575	-1.214	6.38E-45	-44.1951793212788
CLUL1	ENSG00000079101.16	8.25	4.825	0.667	1.94E-12	11.7121982700698
CLVS1	ENSG00000177182.10	0.04	0.095	-0.074	5.95E-05	-4.22548303427145
CLVS2	ENSG00000146352.12	0.25	1.22	-0.829	8.26E-49	-48.0830199526796
CLYBL	ENSG00000125246.15	6.435	6.68	-0.047	0.172	-0.764471553092451
CMA1	ENSG00000092009.10	0.22	0.41	-0.209	2.25E-09	-8.64781748188864
CMAHP	ENSG00000168405.14	4.625	18.061	-1.761	9.7E-60	-59.0132282657338
CMAS	ENSG00000111726.12	37.189	28.904	0.353	9.04E-07	6.04383156952464
CMB9-22P13.1	ENSG00000173727.11	1.3	2.355	-0.545	2.12E-28	-27.6736641390712
CMB9-55A18.1	ENSG00000269570.2	0.04	0.17	-0.17	1.04E-54	-53.9829666607012
CMB9-55F22.1	ENSG00000279672.1	1.54	2.626	-0.514	1.02E-14	-13.9913998282381
CMB9-94B1.2	ENSG00000276505.1	0.32	1.29	-0.795	6.1E-36	-35.2146701649892
CMBL	ENSG00000164237.8	21.87	16.8	0.362	0.284	0.546681659952962
CMC1	ENSG00000187118.12	31.26	28.365	0.136	6.5E-06	5.18708664335714
CMC2	ENSG00000103121.8	79.329	68.838	0.202	0.00485	2.31425826139774
CMC4	ENSG00000182712.15	11.435	12.52	-0.121	3.85E-05	-4.4145392704915
CMIP	ENSG00000153815.16	13.775	18.67	-0.413	3.59E-15	-14.4449055514217
CMKLR1	ENSG00000174600.13	1.82	2.92	-0.475	1.51E-09	-8.82102305270683
CMP21-97G8.1	ENSG00000273104.1	0	0.21	-0.275	2.01E-35	-34.6968039425795
CMP21-97G8.2	ENSG00000272958.1	0	0.14	-0.189	5.32E-36	-35.274088367705
CMPK1	ENSG00000162368.13	120.35	62.124	0.943	1.45E-41	40.838631997765
CMPK2	ENSG00000134326.11	2.28	2	0.129	0.0654	1.18442225167573
CMSS1	ENSG00000184220.10	17.725	16.365	0.109	0.00172	2.76447155309245
CMTM1	ENSG00000089505.17	0.43	0.7	-0.249	1.99E-16	-15.7011469235903
CMTM2	ENSG00000140932.9	0.17	0.485	-0.344	6.7E-31	-30.1739251972992
CMTM3	ENSG00000140931.19	13.96	20.949	-0.553	3.55E-20	-19.4497716469449
CMTM4	ENSG00000183723.12	24.401	11.44	1.03	4.33E-39	38.3635121036466
CMTM5	ENSG00000166091.19	0.395	1.765	-0.987	1.03E-63	-62.9871627752948
CMTM6	ENSG00000091317.7	42.031	20.955	0.971	1.28E-24	23.8927900303521
CMTM7	ENSG00000153551.13	9.79	13.415	-0.418	3.44E-11	-10.4634415574285
CMTM8	ENSG00000170293.8	11.63	9.319	0.291	0.00281	2.55129368009492
CMTR1	ENSG00000137200.12	17.715	28.24	-0.644	5.59E-37	-36.2525881921136
CMTR2	ENSG00000180917.16	6.91	9.265	-0.376	1.49E-09	-8.82681373158773
CMYA5	ENSG00000164309.14	1.63	6.06	-1.425	4.19E-52	-51.3777859770337
CNBD2	ENSG00000149646.12	3.67	3.74	-0.021	0.595	-0.22548303427145
CNBP	ENSG00000169714.16	322.408	268.82	0.261	9.02E-09	8.04479346245806
CNDP1	ENSG00000150656.14	0.07	0.17	-0.129	4.54E-21	-20.3429441471429
CNDP2	ENSG00000133313.14	237.741	137.372	0.787	2.07E-39	38.6840296545431
CNEP1R1	ENSG00000205423.11	5.235	8.03	-0.534	7.24E-32	-31.1402614338029
CNFN	ENSG00000105427.9	10.53	8.675	0.253	0.000876	3.05749589383192
CNGA1	ENSG00000198515.13	2.85	1.88	0.419	1.25E-14	13.9030899869919
CNGA4	ENSG00000132259.12	0.1	0.19	-0.113	8.55E-10	-9.06803388527183
CNIH1	ENSG00000100528.11	77.08	47.021	0.701	1.26E-14	13.8996294548824
CNIH2	ENSG00000174871.10	0.61	0.85	-0.2	0.0357	-1.44733178388781
CNIH3	ENSG00000143786.7	1.98	2.745	-0.33	9.36E-10	-9.02872415126189
CNIH4	ENSG00000143771.11	24.485	21.965	0.15	3.41E-05	4.4672456210075
CNKSR1	ENSG00000142675.17	16.155	18.125	-0.157	0.00563	-2.24949160514865
CNKSR2	ENSG00000149970.14	0.925	0.7	0.179	7.36E-06	5.1331221856625
CNKSR3	ENSG00000153721.17	10.26	8.11	0.306	1.07E-05	4.97061622231479
CNN1	ENSG00000130176.7	263.078	592.798	-1.169	8.08E-23	-22.0925886392254
CNN2	ENSG00000064666.14	43.605	89.266	-1.017	5.07E-44	-43.2949920406667
CNN2P1	ENSG00000227201.2	0.07	0.09	-0.027	6.06E-07	-6.21752737583371
CNN2P9	ENSG00000213149.3	0.24	0.28	-0.046	0.0244	-1.61261017366127
CNN3	ENSG00000117519.15	76.116	118.184	-0.628	8.99E-21	-20.0462403082668
CNNM1	ENSG00000119946.10	1.65	1.505	0.081	0.00135	2.86966623150499
CNNM2	ENSG00000148842.17	3.75	2.86	0.299	4.78E-11	10.3205721033879
CNNM3	ENSG00000168763.15	18.74	14.775	0.323	2.28E-10	9.64206515299955
CNNM4	ENSG00000158158.11	5.835	5.84	-0.001	0.301	-0.521433504406157
CNOT1	ENSG00000125107.16	96.248	87.717	0.132	0.83	0.080921907623926
CNOT10	ENSG00000182973.18	18.175	17.355	0.063	0.0209	1.67985371388895
CNOT11	ENSG00000158435.7	23.24	21.045	0.137	0.00337	2.47237009912866
CNOT2	ENSG00000111596.11	24.555	29.2	-0.241	4.24E-07	-6.37263414340727
CNOT3	ENSG00000088038.17	31.806	44.879	-0.484	1.79E-22	-21.7471469690201
CNOT4	ENSG00000080802.18	8.19	8.895	-0.107	0.000105	-3.97881070093006
CNOT6	ENSG00000113300.11	10.86	7.445	0.49	3.02E-12	11.5199930570429
CNOT6L	ENSG00000138767.12	8.185	7.15	0.172	0.298	0.525783735923745
CNOT6LP1	ENSG00000230183.4	0.03	0.165	-0.178	1.18E-56	-55.9281179926939
CNOT7	ENSG00000198791.11	24.055	21.17	0.176	0.737	0.132532512140949
