Gene	Gistic(Q-value)	Cytoband	CNA	#	Freq CNA	Is Cancer Gene CN(source: OncoKB)
CENPH	2.112e-26	5q13.2	HOMDEL	29	5.9%	No
CRISPLD1	3.701e-5	8q21.13	AMP	29	5.9%	No
UTP23		8q24.11	AMP	29	5.9%	No
GINS4		8p11.21	HOMDEL	29	5.9%	No
MTSS2		16q22.1	HOMDEL	29	5.9%	No
MRPS36	2.112e-26	5q13.2	HOMDEL	29	5.9%	No
MAL2		8q24.12	AMP	29	5.9%	No
SLC26A7	3.701e-5	8q21.3	AMP	29	5.9%	No
AGAP11		10q23.2	HOMDEL	29	5.9%	No
LYPD6		2q23.2	HOMDEL	29	5.9%	No
SETD9	3.125e-28	5q11.2	HOMDEL	29	5.9%	No
GPAT4		8p11.21	HOMDEL	29	5.9%	No
DCAF4L2	3.701e-5	8q21.3	AMP	29	5.9%	No
MARVELD2	2.112e-26	5q13.2	HOMDEL	29	5.9%	No
SBSPON	3.701e-5	8q21.11	AMP	29	5.9%	No
MIER3	3.125e-28	5q11.2	HOMDEL	29	5.9%	No
SLC30A8		8q24.11	AMP	29	5.9%	No
ADAM5		8p11.22	HOMDEL	29	5.9%	No
DPY19L4	3.701e-5	8q22.1	AMP	29	5.9%	No
TEX41		2q22.3	HOMDEL	29	5.9%	No
AARD		8q24.11	AMP	29	5.9%	No
FAM25A		10q23.2	HOMDEL	29	5.9%	No
LINC00863		10q23.2	HOMDEL	29	5.9%	No
SNORA50A	2.112e-26	16q21	HOMDEL	29	5.9%	No
SNORA32		11q21	AMP	29	5.9%	No
SNORD111		16q22.1	HOMDEL	29	5.9%	No
NUTM2A		10q23.2	HOMDEL	29	5.9%	Yes
NUTM2D		10q23.2	HOMDEL	29	5.9%	No
SNORD111B		16q22.1	HOMDEL	29	5.9%	No
LRRC69	3.701e-5	8q21.3	AMP	29	5.9%	No
RNU6ATAC2P	3.125e-28	5q11.2	HOMDEL	29	5.9%	No
LINC00536		8q23.3	AMP	29	5.9%	No
RNA5SP185	3.125e-28	5q11.2	HOMDEL	29	5.9%	No
RNA5SP271	3.701e-5	8q21.11	AMP	29	5.9%	No
RNA5SP272	3.701e-5	8q21.3	AMP	29	5.9%	No
CASC9	3.701e-5	8q21.13	AMP	29	5.9%	No
RN7SL564P		6q22.31	HOMDEL	29	5.9%	No
RN7SL733P		10q23.2	HOMDEL	29	5.9%	No
RN7SL228P		8q24.11	AMP	29	5.9%	No
RN7SKP153		8q24.12	AMP	29	5.9%	No
RND3		2q23.3	HOMDEL	28	5.7%	No
CDK7	2.112e-26	5q13.2	HOMDEL	28	5.7%	No
GRN	6.190e-15	17q21.31	HOMDEL	28	5.7%	No
GYPC		2q14.3	HOMDEL	28	5.7%	No
IFIT2		10q23.31	HOMDEL	28	5.7%	No
IFIT1		10q23.31	HOMDEL	28	5.7%	No
IFIT3		10q23.31	HOMDEL	28	5.7%	No
ITGA2B	6.190e-15	17q21.31	HOMDEL	28	5.7%	No
CD180		5q12.3	HOMDEL	28	5.7%	No
CCN3		8q24.12	AMP	28	5.7%	No
TNFRSF11B		8q24.12	AMP	28	5.7%	No
PMCHL2	2.112e-26	5q13.2	HOMDEL	28	5.7%	No
RAD17	2.112e-26	5q13.2	HOMDEL	28	5.7%	No
SFRP1		8p11.21	HOMDEL	28	5.7%	Yes
TAF9	2.112e-26	5q13.2	HOMDEL	28	5.7%	No
COL14A1		8q24.12	AMP	28	5.7%	No
PLPP1	3.125e-28	5q11.2	HOMDEL	28	5.7%	No
MSC	3.701e-5	8q13.3	AMP	28	5.7%	No
ZEB2		2q22.3	HOMDEL	28	5.7%	No
ARFGEF1	3.701e-5	8q13.2	AMP	28	5.7%	No
AP3M2		8p11.21	HOMDEL	28	5.7%	No
COPS5	3.701e-5	8q13.1	AMP	28	5.7%	No
ADAMTS6		5q12.3	HOMDEL	28	5.7%	No
DDX19B		16q22.1	HOMDEL	28	5.7%	No
GPATCH8	6.190e-15	17q21.31	HOMDEL	28	5.7%	No
TRAM1	3.701e-5	8q13.3	AMP	28	5.7%	No
IFIT5		10q23.31	HOMDEL	28	5.7%	No
MMADHC		2q23.2	HOMDEL	28	5.7%	No
C2ORF27A		2q21.2	HOMDEL	28	5.7%	No
ARHGEF4		2q21.1	HOMDEL	28	5.7%	No
LACTB2	3.701e-5	8q13.3	AMP	28	5.7%	No
KCNK9		8q24.3	AMP	28	5.7%	No
SLC25A39	6.190e-15	17q21.31	HOMDEL	28	5.7%	No
OTUD6B	3.701e-5	8q21.3	AMP	28	5.7%	No
SHQ1		3p13	HOMDEL	28	5.7%	Yes
LMBRD1		6q13	HOMDEL	28	5.7%	No
ZSWIM6		5q12.1	HOMDEL	28	5.7%	No
SLC30A5	2.112e-26	5q13.1-q13.2	HOMDEL	28	5.7%	No
DSCC1		8q24.12	AMP	28	5.7%	No
ZMAT4		8p11.21	HOMDEL	28	5.7%	No
CSPP1	3.701e-5	8q13.1-q13.2	AMP	28	5.7%	No
PREX2	3.701e-5	8q13.2	AMP	28	5.7%	Yes
TRAPPC9		8q24.3	AMP	28	5.7%	No
MED30		8q24.11	AMP	28	5.7%	No
G6PC3	6.190e-15	17q21.31	HOMDEL	28	5.7%	No
LSM12	6.190e-15	17q21.31	HOMDEL	28	5.7%	No
IL34		16q22.1	HOMDEL	28	5.7%	No
SLC38A9	3.125e-28	5q11.2	HOMDEL	28	5.7%	No
MCMDC2	3.701e-5	8q13.1	AMP	28	5.7%	No
EEF1DP3		13q13.1	HOMDEL	28	5.7%	No
CCDC125	2.112e-26	5q13.2	HOMDEL	28	5.7%	No
FAM171A2	6.190e-15	17q21.31	HOMDEL	28	5.7%	No
PPP1R42	3.701e-5	8q13.1	AMP	28	5.7%	No
ACTBL2	3.125e-28	5q11.2	HOMDEL	28	5.7%	No
SLC16A12		10q23.31	HOMDEL	28	5.7%	No
C2ORF27B	4.456e-21	2q21.2	HOMDEL	28	5.7%	No
IFIT1B		10q23.31	HOMDEL	28	5.7%	No
SNHG6	3.701e-5	8q13.1|8q13	AMP	28	5.7%	No
SNORD87	3.701e-5	8q13.1	AMP	28	5.7%	No
TCF24	3.701e-5	8q13.1	AMP	28	5.7%	No
C8ORF17		8q24.3	AMP	28	5.7%	No
LINC00564		13q31.1	HOMDEL	28	5.7%	No
RNA5SP136		3p13	HOMDEL	28	5.7%	No
RNA5SP183	3.125e-28	5q11.2	HOMDEL	28	5.7%	No
RNA5SP268	3.701e-5	8q13.1	AMP	28	5.7%	No
RNA5SP276		8q23.3	AMP	28	5.7%	No
RN7SKP231	3.701e-5	8q21.3	AMP	28	5.7%	No
RN7SL396P		8q24.12	AMP	28	5.7%	No
RN7SL782P		5q21.3	HOMDEL	28	5.7%	No
AARS		16q22.1	HOMDEL	27	5.5%	No
BIN1		2q14.3	HOMDEL	27	5.5%	No
TRIM23		5q12.3	HOMDEL	27	5.5%	No
ASGR2		17p13.1	HOMDEL	27	5.5%	No
ERCC3		2q14.3	HOMDEL	27	5.5%	Yes
EXT1		8q24.11	AMP	27	5.5%	Yes
EYA1	3.701e-5	8q13.3	AMP	27	5.5%	No
GLI4		8q24.3	AMP	27	5.5%	No
GPR17		2q14.3	HOMDEL	27	5.5%	No
HAS2		8q24.13	AMP	27	5.5%	No
IKBKB		8p11.21	HOMDEL	27	5.5%	Yes
LNPEP		5q15	HOMDEL	27	5.5%	No
LY6H		8q24.3	AMP	27	5.5%	No
MAN2A1		5q21.3	HOMDEL	27	5.5%	No
MAP1B	2.112e-26	5q13.2	HOMDEL	27	5.5%	No
MYO7B		2q14.3	HOMDEL	27	5.5%	No
NEB		2q23.3	HOMDEL	27	5.5%	No
PLAT		8p11.21	HOMDEL	27	5.5%	No
POLB		8p11.21	HOMDEL	27	5.5%	No
PROC		2q14.3	HOMDEL	27	5.5%	No
PTK2		8q24.3	AMP	27	5.5%	No
ST3GAL2		16q22.1	HOMDEL	27	5.5%	No
SNTB1		8q24.12	AMP	27	5.5%	No
CARTPT	2.112e-26	5q13.2	HOMDEL	27	5.5%	No
PJA2		5q21.3	HOMDEL	27	5.5%	No
TRDN		6q22.31	HOMDEL	27	5.5%	No
CLEC10A		17p13.1	HOMDEL	27	5.5%	No
MAP3K2		2q14.3	HOMDEL	27	5.5%	No
PLK2	3.125e-28	5q11.2	HOMDEL	27	5.5%	Yes
DENND3		8q24.3	AMP	27	5.5%	No
MRPS27	2.112e-26	5q13.2	HOMDEL	27	5.5%	No
ZC3H3		8q24.3	AMP	27	5.5%	No
PPWD1		5q12.3	HOMDEL	27	5.5%	No
SGK3	3.701e-5	8q13.1	AMP	27	5.5%	No
MTBP		8q24.12	AMP	27	5.5%	No
FOXP1		3p13	HOMDEL	27	5.5%	Yes
DKK4		8p11.21	HOMDEL	27	5.5%	Yes
AGO2		8q24.3	AMP	27	5.5%	Yes
MRPL13		8q24.12	AMP	27	5.5%	No
CHRAC1		8q24.3	AMP	27	5.5%	No
SGTB		5q12.3	HOMDEL	27	5.5%	No
PLEKHB2		2q21.1	HOMDEL	27	5.5%	No
DDX19A		16q22.1	HOMDEL	27	5.5%	No
WDR33		2q14.3	HOMDEL	27	5.5%	No
IWS1		2q14.3	HOMDEL	27	5.5%	No
LIMS2		2q14.3	HOMDEL	27	5.5%	No
BDP1	2.112e-26	5q13.2	HOMDEL	27	5.5%	No
CFC1		2q21.1	HOMDEL	27	5.5%	No
SLC45A4		8q24.3	AMP	27	5.5%	No
NLN		5q12.3	HOMDEL	27	5.5%	No
MCCC2	2.112e-26	5q13.2	HOMDEL	27	5.5%	No
CENPK		5q12.3	HOMDEL	27	5.5%	No
PTCD2	2.112e-26	5q13.2	HOMDEL	27	5.5%	No
ZNF696		8q24.3	AMP	27	5.5%	No
TRAPPC13		5q12.3	HOMDEL	27	5.5%	No
TMEM101		17q21.31	HOMDEL	27	5.5%	No
SFT2D3		2q14.3	HOMDEL	27	5.5%	No
CCDC74A		2q21.1	HOMDEL	27	5.5%	No
TUBA3D		2q21.1	HOMDEL	27	5.5%	No
RHPN1		8q24.3	AMP	27	5.5%	No
RAB3C		5q11.2	HOMDEL	27	5.5%	No
C8ORF34	3.701e-5	8q13.2	AMP	27	5.5%	No
TOP1MT		8q24.3	AMP	27	5.5%	No
CLVS2		6q22.31	HOMDEL	27	5.5%	No
SREK1		5q12.3	HOMDEL	27	5.5%	No
NKAIN2		6q22.31	HOMDEL	27	5.5%	No
SLC16A11		17p13.1	HOMDEL	27	5.5%	No
ZNF366	2.112e-26	5q13.2|5q13.2	HOMDEL	27	5.5%	No
COL22A1		8q24.23-q24.3	AMP	27	5.5%	No
FCSK		16q22.1	HOMDEL	27	5.5%	No
SLC16A13		17p13.1	HOMDEL	27	5.5%	No
GAPT		5q11.2	HOMDEL	27	5.5%	No
AMER3		2q21.1	HOMDEL	27	5.5%	No
CASC7		8q24.3	AMP	27	5.5%	No
ZFP41		8q24.3	AMP	27	5.5%	No
GPIHBP1		8q24.3	AMP	27	5.5%	No
CYP27C1		2q14.3	HOMDEL	27	5.5%	No
GPR148		2q21.1	HOMDEL	27	5.5%	No
EYS		6q12	HOMDEL	27	5.5%	No
XKR9	3.701e-5	8q13.3	AMP	27	5.5%	No
MAFA		8q24.3	AMP	27	5.5%	No
SAMD12		8q24.11-q24.12	AMP	27	5.5%	No
POTEE		2q21.1	HOMDEL	27	5.5%	No
POTEI		2q21.1	HOMDEL	27	5.5%	No
CFC1B		2q21.1	HOMDEL	27	5.5%	No
POTEJ		2q21.1	HOMDEL	27	5.5%	No
MZT2A		2q21.1	HOMDEL	27	5.5%	No
CYP4F30P		2q21.1	HOMDEL	27	5.5%	No
RNA5SP269	3.701e-5	8q13.2	AMP	27	5.5%	No
RNA5SP277		8q24.12	AMP	27	5.5%	No
RNA5SP278		8q24.3	AMP	27	5.5%	No
RN7SKP122		5q21.3	HOMDEL	27	5.5%	No
RN7SL826P		8q24.11	AMP	27	5.5%	No
RN7SL19P	3.701e-5	8q13.3	AMP	27	5.5%	No
RN7SL258P	6.190e-15	17q21.31	HOMDEL	27	5.5%	No
RN7SL153P	2.112e-26	5q13.2	HOMDEL	27	5.5%	No
RN7SL279P		16q22.1	HOMDEL	27	5.5%	No
CYP4F31P		2q21.1	HOMDEL	27	5.5%	No
CYC1		8q24.3	AMP	26	5.3%	No
DUSP3		17q21.31	HOMDEL	26	5.3%	No
EEF1D		8q24.3	AMP	26	5.3%	No
GPR19		12p13.1	HOMDEL	26	5.3%	No
GPR20		8q24.3	AMP	26	5.3%	No
GPT		8q24.3	AMP	26	5.3%	No
GRINA		8q24.3	AMP	26	5.3%	No
HEXB		5q13.3	HOMDEL	26	5.3%	No
HSF1		8q24.3	AMP	26	5.3%	No
HTR1A		5q12.3	HOMDEL	26	5.3%	No
INHBB		2q14.2	HOMDEL	26	5.3%	No
TNPO1	2.112e-26	5q13.2	HOMDEL	26	5.3%	No
MPP2		17q21.31	HOMDEL	26	5.3%	No
MPP3		17q21.31	HOMDEL	26	5.3%	No
TONSL		8q24.3	AMP	26	5.3%	No
PLEC		8q24.3	AMP	26	5.3%	No
POLR2D		2q14.3	HOMDEL	26	5.3%	No
PPY		17q21.31	HOMDEL	26	5.3%	No
PYY		17q21.31	HOMDEL	26	5.3%	No
RALB		2q14.2	HOMDEL	26	5.3%	No
RPL8		8q24.3	AMP	26	5.3%	No
TNFAIP6		2q23.3	HOMDEL	26	5.3%	No
TSTA3		8q24.3	AMP	26	5.3%	No
VDAC3		8p11.21	HOMDEL	26	5.3%	No
ZNF7		8q24.3	AMP	26	5.3%	No
ZNF16		8q24.3	AMP	26	5.3%	No
DGAT1		8q24.3	AMP	26	5.3%	No
GPAA1		8q24.3	AMP	26	5.3%	No
FOXH1		8q24.3	AMP	26	5.3%	No
NMI		2q23.3	HOMDEL	26	5.3%	No
HS6ST1		2q14.3	HOMDEL	26	5.3%	No
RECQL4		8q24.3	AMP	26	5.3%	Yes
LRRC14		8q24.3	AMP	26	5.3%	No
ZNF623		8q24.3	AMP	26	5.3%	No
CWC27		5q12.3	HOMDEL	26	5.3%	No
NSA2		5q13.3	HOMDEL	26	5.3%	No
LDB3		10q23.2	HOMDEL	26	5.3%	No
PTP4A3		8q24.3	AMP	26	5.3%	No
PUF60		8q24.3	AMP	26	5.3%	No
BOP1		8q24.3	AMP	26	5.3%	No
SCRIB		8q24.3	AMP	26	5.3%	No
FAM215A		17q21.31	HOMDEL	26	5.3%	No
FAM169A		5q13.3	HOMDEL	26	5.3%	No
ARL5A		2q23.3	HOMDEL	26	5.3%	No
FBXL6		8q24.3	AMP	26	5.3%	No
OPLAH		8q24.3	AMP	26	5.3%	No
COMMD5		8q24.3	AMP	26	5.3%	No
CPSF1		8q24.3	AMP	26	5.3%	No
CYHR1		8q24.3	AMP	26	5.3%	No
FAM135B		8q24.23	AMP	26	5.3%	No
VPS28		8q24.3	AMP	26	5.3%	No
HGH1		8q24.3	AMP	26	5.3%	No
EXOSC4		8q24.3	AMP	26	5.3%	No
RIF1		2q23.3	HOMDEL	26	5.3%	No
SLC39A4		8q24.3	AMP	26	5.3%	No
ERBIN		5q12.3	HOMDEL	26	5.3%	No
C8ORF44	3.701e-5	8q13.1	AMP	26	5.3%	No
UGGT1		2q14.3	HOMDEL	26	5.3%	No
CPA6	3.701e-5	8q13.2	AMP	26	5.3%	No
ZNF250		8q24.3	AMP	26	5.3%	No
ARHGEF28		5q13.2	HOMDEL	26	5.3%	Yes
PYCR3		8q24.3	AMP	26	5.3%	No
C8ORF33		8q24.3	AMP	26	5.3%	No
TMEM185B		2q14.2	HOMDEL	26	5.3%	No
SLC52A2		8q24.3	AMP	26	5.3%	No
SAP130		2q14.3	HOMDEL	26	5.3%	No
TANGO6		16q22.1	HOMDEL	26	5.3%	No
MCTP1		5q15	HOMDEL	26	5.3%	No
GSDMD		8q24.3	AMP	26	5.3%	No
RPS2P45		16q22.1	HOMDEL	26	5.3%	No
ARHGAP39		8q24.3	AMP	26	5.3%	No
ZNF34		8q24.3	AMP	26	5.3%	No
SHARPIN		8q24.3	AMP	26	5.3%	No
EPPK1		8q24.3	AMP	26	5.3%	No
SCRT1		8q24.3	AMP	26	5.3%	No
AMMECR1L		2q14.3	HOMDEL	26	5.3%	No
ADGRV1		5q14.3	HOMDEL	26	5.3%	No
RAB6C		2q21.1	HOMDEL	26	5.3%	No
MAF1		8q24.3	AMP	26	5.3%	No
GFM2		5q13.3	HOMDEL	26	5.3%	No
PARP10		8q24.3	AMP	26	5.3%	No
TIGD5		8q24.3	AMP	26	5.3%	No
PPP1R16A		8q24.3	AMP	26	5.3%	No
ZNF251		8q24.3	AMP	26	5.3%	No
KIFC2		8q24.3	AMP	26	5.3%	No
NAPRT		8q24.3	AMP	26	5.3%	No
MFSD3		8q24.3	AMP	26	5.3%	No
FCHO2	2.112e-26	5q13.2	HOMDEL	26	5.3%	No
EXOSC6		16q22.1	HOMDEL	26	5.3%	Yes
C17ORF49		17p13.1	HOMDEL	26	5.3%	No
CNTNAP5		2q14.3	HOMDEL	26	5.3%	No
FAM168B		2q21.1	HOMDEL	26	5.3%	No
TMEM171	2.112e-26	5q13.2	HOMDEL	26	5.3%	No
TMEM174	2.112e-26	5q13.2	HOMDEL	26	5.3%	No
CD300LG		17q21.31	HOMDEL	26	5.3%	No
NAGS		17q21.31	HOMDEL	26	5.3%	No
ADCK5		8q24.3	AMP	26	5.3%	No
TSNARE1		8q24.3	AMP	26	5.3%	No
MAPK15		-	AMP	26	5.3%	No
BCL6B		17p13.1	HOMDEL	26	5.3%	No
CFAP97D1		17q21.31	HOMDEL	26	5.3%	No
C5ORF64		5q12.1	HOMDEL	26	5.3%	No
RNF180		5q12.3	HOMDEL	26	5.3%	No
SREK1IP1		5q12.3	HOMDEL	26	5.3%	No
ZNF707		8q24.3	AMP	26	5.3%	No
FAM83H		8q24.3	AMP	26	5.3%	No
ZNF252P		8q24.3	AMP	26	5.3%	No
NRBP2		8q24.3	AMP	26	5.3%	No
ZNF517		8q24.3	AMP	26	5.3%	No
WDR97		8q24.3	AMP	26	5.3%	No
TMEM249		8q24.3	AMP	26	5.3%	No
RBM43		2q23.3	HOMDEL	26	5.3%	No
SPATC1		8q24.3	AMP	26	5.3%	No
MROH5		8q24.3	AMP	26	5.3%	No
RGS7BP		5q12.3	HOMDEL	26	5.3%	No
C8ORF82		8q24.3	AMP	26	5.3%	No
RNASEK		17p13.1	HOMDEL	26	5.3%	No
LRRC24		8q24.3	AMP	26	5.3%	No
LINC00051		8q24.3	AMP	26	5.3%	No
MROH6		8q24.3	AMP	26	5.3%	No
SCX		8q24.3	AMP	26	5.3%	No
TMEM232		5q22.1	HOMDEL	26	5.3%	No
SNORA50C		17q23.3	HOMDEL	26	5.3%	No
MROH1		8q24.3	AMP	26	5.3%	No
CCDC166		8q24.3	AMP	26	5.3%	No
SHISAL2B		5q12.3	HOMDEL	26	5.3%	No
RNY4P7		2q14.3	HOMDEL	26	5.3%	No
MIR497HG		17p13.1	HOMDEL	26	5.3%	No
RNA5SP102		2q14.3	HOMDEL	26	5.3%	No
RNA5SP103		2q14.3	HOMDEL	26	5.3%	No
RN7SKP157		5q12.1	HOMDEL	26	5.3%	No
RN7SL169P		5q12.3	HOMDEL	26	5.3%	No
RN7SL124P		2q23.3	HOMDEL	26	5.3%	No
RN7SL395P		8q24.3	AMP	26	5.3%	No
ALOX12		17p13.1	HOMDEL	25	5.1%	No
ADGRB1		8q24.3	AMP	25	5.1%	No
BTF3		5q13.2	HOMDEL	25	5.1%	No
CACNB4		2q23.3	HOMDEL	25	5.1%	No
CAMK4		5q22.1	HOMDEL	25	5.1%	No
CAST		5q15	HOMDEL	25	5.1%	No
CDH1		16q22.1	HOMDEL	25	5.1%	Yes
CDH3		16q22.1	HOMDEL	25	5.1%	No
ERCC8		5q12.1	HOMDEL	25	5.1%	No
CREBL2		12p13.1	HOMDEL	25	5.1%	No
CYP11B1		8q24.3	AMP	25	5.1%	No
CYP11B2		8q24.3	AMP	25	5.1%	No
NQO1		16q22.1	HOMDEL	25	5.1%	No
FOXD1	2.112e-26	5q13.2	HOMDEL	25	5.1%	No
GML		8q24.3	AMP	25	5.1%	No
KIF2A		5q12.1	HOMDEL	25	5.1%	No
LY6E		8q24.3	AMP	25	5.1%	No
MYBL1	3.701e-5	8q13.1	AMP	25	5.1%	No
PTPRD	1.919e-4	9p24.1-p23	HOMDEL	25	5.1%	Yes
SLC20A2		8p11.21	HOMDEL	25	5.1%	No
PSCA		8q24.3	AMP	25	5.1%	No
ENC1		5q13.3	HOMDEL	25	5.1%	No
LY6D		8q24.3	AMP	25	5.1%	No
JRK		8q24.3	AMP	25	5.1%	No
NFAT5		16q22.1	HOMDEL	25	5.1%	No
WWP2		16q22.1	HOMDEL	25	5.1%	No
RRS1	3.701e-5	8q13.1	AMP	25	5.1%	No
ARC		8q24.3	AMP	25	5.1%	No
PART1		5q12.1	HOMDEL	25	5.1%	No
PTPN18		2q21.1	HOMDEL	25	5.1%	No
DIMT1		5q12.1	HOMDEL	25	5.1%	No
NOB1		16q22.1	HOMDEL	25	5.1%	No
IPO11		5q12.1	HOMDEL	25	5.1%	No
GCNT4		5q13.3	HOMDEL	25	5.1%	No
THEM6		8q24.3	AMP	25	5.1%	No
PANK1		10q23.31	HOMDEL	25	5.1%	No
LY6K		8q24.3	AMP	25	5.1%	No
SMPD4		2q21.1	HOMDEL	25	5.1%	No
RIOK2		5q15	HOMDEL	25	5.1%	No
DEPDC1B		5q12.1	HOMDEL	25	5.1%	No
SLURP1		8q24.3	AMP	25	5.1%	No
EPB41L5		2q14.2	HOMDEL	25	5.1%	No
ANKRA2		5q13.2	HOMDEL	25	5.1%	No
ERAP2		5q15	HOMDEL	25	5.1%	No
LYNX1		8q24.3	AMP	25	5.1%	No
ELOVL7		5q12.1	HOMDEL	25	5.1%	No
MZT2B		2q21.1	HOMDEL	25	5.1%	No
VCPIP1	3.701e-5	8q13.1	AMP	25	5.1%	No
DUSP16		12p13.2	HOMDEL	25	5.1%	No
UTP15		5q13.2	HOMDEL	25	5.1%	No
CCDC115		2q21.1	HOMDEL	25	5.1%	No
CCDC74B		2q21.1	HOMDEL	25	5.1%	No
NDUFAF2		5q12.1	HOMDEL	25	5.1%	No
IMP4		2q21.1	HOMDEL	25	5.1%	No
TUBA3E		2q21.1	HOMDEL	25	5.1%	No
FMNL2		2q23.3	HOMDEL	25	5.1%	No
RXFP2		13q13.1	HOMDEL	25	5.1%	No
CCDC43		17q21.31	HOMDEL	25	5.1%	No
WDR36		5q22.1	HOMDEL	25	5.1%	No
LYPD2		8q24.3	AMP	25	5.1%	No
ADHFE1	3.701e-5	8q13.1	AMP	25	5.1%	No
LIX1		5q15	HOMDEL	25	5.1%	No
VXN	3.701e-5	8q13.1	AMP	25	5.1%	No
ANKRD31		5q13.3	HOMDEL	25	5.1%	No
MEIOC		17q21.31	HOMDEL	25	5.1%	No
KIAA0825		5q15	HOMDEL	25	5.1%	No
C8ORF31		8q24.3	AMP	25	5.1%	No
EIF4E3		3p13	HOMDEL	25	5.1%	No
FKSG49		5q13.3	HOMDEL	25	5.1%	No
SMIM15		5q12.1	HOMDEL	25	5.1%	No
CYP4F62P		2q21.1	HOMDEL	25	5.1%	No
POTEF		2q21.1	HOMDEL	25	5.1%	No
LRRC70		5q12.1	HOMDEL	25	5.1%	No
RN7SKP230		5q21.3	HOMDEL	25	5.1%	No
RN7SL271P	1.634e-21	3p13	HOMDEL	25	5.1%	No
RNA5SP429		16q22.1	HOMDEL	25	5.1%	No
RN7SL814P		5q13.3	HOMDEL	25	5.1%	No
RN7SKP102		2q14.3	HOMDEL	25	5.1%	No
ALOX12P2		17p13.1	HOMDEL	24	4.9%	No
CRH	3.701e-5	8q13.1	AMP	24	4.9%	No
FZD2	6.190e-15	17q21.31	HOMDEL	24	4.9%	No
GLI2		2q14.2	HOMDEL	24	4.9%	No
GRID1		10q23.1-q23.2	HOMDEL	24	4.9%	No
HAS3		16q22.1	HOMDEL	24	4.9%	No
HMGCR		5q13.3	HOMDEL	24	4.9%	No
LRP6		12p13.2	HOMDEL	24	4.9%	Yes
MCC		5q22.2	HOMDEL	24	4.9%	No
PCSK1		5q15	HOMDEL	24	4.9%	No
PTPN4		2q14.2	HOMDEL	24	4.9%	No
SCTR		2q14.2	HOMDEL	24	4.9%	No
SNTB2		16q22.1	HOMDEL	24	4.9%	No
NR2F1		5q15	HOMDEL	24	4.9%	No
TSN		2q14.3	HOMDEL	24	4.9%	No
COL4A3BP		5q13.3	HOMDEL	24	4.9%	No
STAM2		2q23.3	HOMDEL	24	4.9%	No
WAPL		10q23.2	HOMDEL	24	4.9%	No
CLASP1		2q14.2-q14.3	HOMDEL	24	4.9%	No
MTREX	3.125e-28	5q11.2	HOMDEL	24	4.9%	No
TFCP2L1		2q14.2	HOMDEL	24	4.9%	No
SOST		17q21.31	HOMDEL	24	4.9%	No
POLK		5q13.3	HOMDEL	24	4.9%	No
ERAP1		5q15	HOMDEL	24	4.9%	No
CHTF8		16q22.1	HOMDEL	24	4.9%	No
PDPR		16q22.1	HOMDEL	24	4.9%	No
PROK2		3p13	HOMDEL	24	4.9%	No
BCL2L14		12p13.2	HOMDEL	24	4.9%	No
TEKT1		17p13.1	HOMDEL	24	4.9%	No
FAM172A		5q15	HOMDEL	24	4.9%	No
SLF1		5q15	HOMDEL	24	4.9%	No
NIFK		2q14.3	HOMDEL	24	4.9%	No
TRIM55	3.701e-5	8q13.1	AMP	24	4.9%	No
UTP4		16q22.1	HOMDEL	24	4.9%	No
DNAJC5B	3.701e-5	8q13.1	AMP	24	4.9%	No
TSLP		5q22.1	HOMDEL	24	4.9%	No
OPN4		10q23.2	HOMDEL	24	4.9%	No
BORCS5		12p13.2	HOMDEL	24	4.9%	No
POU5F2		5q15	HOMDEL	24	4.9%	No
PDXDC2P-NPIPB14P		16q22.1	HOMDEL	24	4.9%	No
CLEC18C		16q22.1	HOMDEL	24	4.9%	No
CLEC18A		16q22.1	HOMDEL	24	4.9%	No
RNU4ATAC		2q14.2	HOMDEL	24	4.9%	No
LINC00967	3.701e-5	8q13.1	AMP	24	4.9%	No
ALOX12B		17p13.1	HOMDEL	23	4.7%	Yes
APC		5q22.2	HOMDEL	23	4.7%	Yes
CETN3		5q14.3	HOMDEL	23	4.7%	No
NPBWR1		8q11.23	AMP	23	4.7%	No
ADAM11		17q21.31	HOMDEL	23	4.7%	No
MEF2C		5q14.3	HOMDEL	23	4.7%	Yes
NNMT	1.491e-7	11q23.2	HOMDEL	23	4.7%	No
TERF2		16q22.1	HOMDEL	23	4.7%	No
NREP		5q22.1	HOMDEL	23	4.7%	No
GJC1		17q21.31	HOMDEL	23	4.7%	No
POLR3G		5q14.3	HOMDEL	23	4.7%	No
ELL2		5q15	HOMDEL	23	4.7%	No
VPS4A		16q22.1	HOMDEL	23	4.7%	No
DDX47		12p13.1	HOMDEL	23	4.7%	No
NIP7		16q22.1	HOMDEL	23	4.7%	No
MANSC1		12p13.2	HOMDEL	23	4.7%	No
STEAP3		2q14.2	HOMDEL	23	4.7%	No
PRPF40A		2q23.3	HOMDEL	23	4.7%	No
PDF		16q22.1	HOMDEL	23	4.7%	No
DBF4B		17q21.31|17q21	HOMDEL	23	4.7%	No
TMEM177		2q14.2	HOMDEL	23	4.7%	No
CYB5B		16q22.1	HOMDEL	23	4.7%	No
COG8		16q22.1	HOMDEL	23	4.7%	No
SLC25A46		5q22.1	HOMDEL	23	4.7%	No
SMIM19		8p11.21	HOMDEL	23	4.7%	No
LYSMD3		5q14.3	HOMDEL	23	4.7%	No
POC5		5q13.3	HOMDEL	23	4.7%	No
TMEM37		2q14.2	HOMDEL	23	4.7%	No
