Gene_name	EnsemblID	Median(Tumor)	Median(Normal)	log2FC	FDR
DDX5	ENSG00000108654	308.472	671.735	-1.12	7.72E-100
DDX60L	ENSG00000181381	4.525	15.29	-1.56	8.64E-123
DEFA1	ENSG00000206047	0.21	69.425	-5.863	4.13E-223
DEFA1B	ENSG00000240247	0.1	73.922	-6.09	9.67E-223
DEFA3	ENSG00000239839	0	26.934	-4.804	2.30E-164
DEFA4	ENSG00000164821	0	3.73	-2.242	1.88E-120
DEFB1	ENSG00000164825	15.235	3.105	1.984	2.13E-35
DENND1C	ENSG00000205744	9.63	22.099	-1.12	8.48E-98
DENND2A	ENSG00000146966	1.38	13.79	-2.636	2.00E-248
DENND3	ENSG00000105339	7.785	115.519	-3.729	1.31E-268
DENND4B	ENSG00000198837	17.554	63.44	-1.796	1.24E-118
DENND4C	ENSG00000137145	7.72	19.655	-1.244	3.70E-133
DENR	ENSG00000139726	40.17	16.805	1.209	1.29E-163
DEPDC1	ENSG00000024526	5.14	0.16	2.404	1.94E-267
DEPDC1B	ENSG00000035499	6.66	0.32	2.537	2.95E-266
DERL3	ENSG00000099958	31.24	9.14	1.669	3.56E-44
DES	ENSG00000175084	1.485	148.853	-5.914	0
DGKD	ENSG00000077044	6.78	39.244	-2.371	7.62E-168
DGUOK-AS1	ENSG00000237883	6.595	1.76	1.46	2.08E-86
DHCR7	ENSG00000172893	58.695	23.995	1.256	6.03E-69
DHFR	ENSG00000228716	13.555	4.9	1.303	3.44E-125
DHFRP1	ENSG00000188985	8.46	1.275	2.056	2.17E-147
DHX58	ENSG00000108771	10.72	22.73	-1.018	9.62E-63
DIAPH3	ENSG00000139734	2.93	0.8	1.127	1.17E-108
DIO2	ENSG00000211448	3.67	0.37	1.769	3.36E-90
DIO3	ENSG00000197406	0.21	1.98	-1.3	7.91E-91
DIO3OS	ENSG00000258498	0.685	30.969	-4.246	6.48E-243
DIP2A	ENSG00000160305	9.05	25.789	-1.414	1.96E-105
DIP2B	ENSG00000066084	14.965	6.8	1.033	7.46E-81
DIRAS3	ENSG00000162595	0.555	2.745	-1.268	1.63E-71
DISP1	ENSG00000154309	1.455	9.27	-2.065	9.60E-224
DIXDC1	ENSG00000150764	2.355	6.695	-1.198	1.68E-111
DKC1	ENSG00000130826	63.95	22.079	1.493	1.86E-140
DKK1	ENSG00000107984	6.335	1.385	1.621	1.89E-51
DKK2	ENSG00000155011	0.735	3.23	-1.286	2.03E-75
DKK3	ENSG00000050165	53.461	177.49	-1.713	7.12E-94
DLC1	ENSG00000164741	3.115	55.115	-3.769	7.94E-293
DLEC1	ENSG00000008226	0.37	3	-1.546	9.01E-62
DLEU1	ENSG00000176124	8.72	3.22	1.204	5.29E-147
DLEU1_1	ENSG00000276089	3.94	0.795	1.461	1.63E-29
DLG1	ENSG00000075711	45.155	20.95	1.072	2.74E-84
DLG4	ENSG00000132535	5.37	20.695	-1.768	1.02E-141
DLGAP5	ENSG00000126787	11.235	0.39	3.138	9.80E-294
DLK2	ENSG00000171462	7.115	0.5	2.436	3.78E-142
DLL4	ENSG00000128917	3.775	17.39	-1.945	2.96E-148
DLX5	ENSG00000105880	9.245	0.175	3.124	1.04E-153
DLX6	ENSG00000006377	3.1	0	2.036	8.77E-134
DLX6-AS1	ENSG00000231764	1.55	0.005	1.343	1.38E-106
DMBT1	ENSG00000187908	4.309	22.164	-2.125	1.65E-20
DMD	ENSG00000198947	2.555	6.45	-1.067	8.53E-43
DMPK	ENSG00000104936	12.885	64.455	-2.237	5.70E-138
DMRT2	ENSG00000173253	5.56	1.195	1.579	7.07E-28
DMRTA2	ENSG00000142700	1.305	0.01	1.19	1.43E-77
DMTF1	ENSG00000135164	22.985	77.95	-1.719	7.04E-113
DMXL2	ENSG00000104093	9.74	37.019	-1.824	3.44E-137
DNAAF1	ENSG00000154099	0.69	5.66	-1.978	3.05E-83
DNAH1	ENSG00000114841	1.24	9.805	-2.27	1.06E-200
DNAH12	ENSG00000174844	0.1	1.51	-1.19	9.02E-71
DNAH14	ENSG00000185842	9.08	2.95	1.352	5.94E-75
DNAH17	ENSG00000187775	1.93	4.96	-1.024	7.37E-12
DNAI1	ENSG00000122735	0.165	1.83	-1.28	9.28E-57
DNAI2	ENSG00000171595	0.14	1.36	-1.05	5.81E-51
DNAJB11	ENSG00000090520	171.141	82.044	1.052	3.12E-102
DNAJC18	ENSG00000170464	4.325	10.525	-1.114	1.37E-82
DNAJC19	ENSG00000205981	55.205	23.325	1.208	2.35E-105
DNAJC19P9	ENSG00000258608	4.67	0.43	1.987	1.08E-131
DNALI1	ENSG00000163879	2.435	13.47	-2.075	6.14E-101
DNASE1L3	ENSG00000163687	2.19	8.295	-1.543	9.09E-56
DNHD1	ENSG00000179532	2.16	13.36	-2.184	3.47E-155
DNM2	ENSG00000079805	59.854	146.519	-1.277	2.08E-130
DNM3	ENSG00000197959	1.01	4.29	-1.396	1.21E-120
DNM3OS	ENSG00000230630	0.33	1.74	-1.043	8.26E-99
DNMT3B	ENSG00000088305	2.22	0.59	1.018	1.97E-86
DOCK10	ENSG00000135905	3.97	9.345	-1.058	3.99E-63
DOCK11	ENSG00000147251	4.52	21.295	-2.014	2.46E-210
DOCK2	ENSG00000134516	4.815	23.895	-2.098	5.00E-165
DOCK4	ENSG00000128512	3.41	30.404	-2.832	1.76E-278
DOCK5	ENSG00000147459	3.38	14.33	-1.807	3.04E-157
DOCK6	ENSG00000130158	17.31	79.195	-2.131	7.76E-161
DOCK8	ENSG00000107099	3.77	14.935	-1.74	2.49E-136
DOCK9	ENSG00000088387	27.965	100.687	-1.812	3.11E-139
DOK1	ENSG00000115325	7.65	16.81	-1.042	1.73E-85
DOK2	ENSG00000147443	5.57	28.4	-2.162	7.46E-154
DOK3	ENSG00000146094	5.8	30.57	-2.215	8.02E-158
DOK4	ENSG00000125170	10.015	22.351	-1.084	1.45E-77
DOK6	ENSG00000206052	0.41	2.03	-1.104	6.25E-48
DOPEY1	ENSG00000083097	3.415	9.415	-1.238	1.62E-120
DOT1L	ENSG00000104885	7.485	17.869	-1.153	2.46E-78
DPCR1	ENSG00000168631	0.04	2.835	-1.883	5.32E-134
DPEP2	ENSG00000167261	1.78	16.54	-2.657	4.19E-211
DPH1	ENSG00000108963	16.425	40.485	-1.251	2.57E-97
DPH6	ENSG00000134146	13.82	5.67	1.152	3.59E-109
DPP3	ENSG00000254986	48.15	21.77	1.11	3.14E-118
DPP4	ENSG00000197635	2.85	8.49	-1.301	2.02E-42
DPT	ENSG00000143196	8.555	38.979	-2.065	3.02E-87
DPY19L2	ENSG00000177990	0.57	2.45	-1.136	9.75E-58
DPY30	ENSG00000162961	101.307	45.255	1.145	2.46E-149
DPYD	ENSG00000188641	7.605	22.555	-1.453	1.55E-101
DPYSL2	ENSG00000092964	13.42	85.9	-2.591	3.27E-217
DQX1	ENSG00000144045	3.99	0.23	2.02	6.56E-146
DRAM1	ENSG00000136048	15.3	45.32	-1.507	8.56E-94
DRG1	ENSG00000185721	68.27	31.519	1.091	4.43E-124
DSC2	ENSG00000134755	30.985	3.34	2.882	9.85E-188
DSC3	ENSG00000134762	50.485	0.13	5.51	3.30E-224
DSCC1	ENSG00000136982	6.725	1.075	1.896	6.18E-203
DSEL	ENSG00000171451	0.71	2.955	-1.21	7.15E-102
DSG1-AS1	ENSG00000266729	1.545	0	1.348	1.15E-96
DSG2	ENSG00000046604	65.032	4.955	3.471	2.39E-248
DSG3	ENSG00000134757	61.479	0.04	5.909	2.90E-219
DSN1	ENSG00000149636	16.135	7.335	1.04	4.99E-108
DSP	ENSG00000096696	129.552	5	4.444	4.96E-303
DST	ENSG00000151914	74.235	200.012	-1.418	6.22E-64
DTD2	ENSG00000129480	12.895	5.67	1.059	2.42E-91
DTHD1	ENSG00000197057	0.26	1.655	-1.075	1.21E-64
DTL	ENSG00000143476	12.63	1.01	2.762	1.27E-199
DTNA	ENSG00000134769	4.615	12.76	-1.293	6.53E-58
DTX4	ENSG00000110042	7	18.7	-1.3	5.41E-92
DTYMK	ENSG00000168393	38.849	13.48	1.46	7.48E-157
DUOX1	ENSG00000137857	14.48	87.054	-2.508	4.34E-131
DUOXA1	ENSG00000140254	15.985	55.079	-1.723	1.06E-71
DUSP1	ENSG00000120129	66.18	666.24	-3.312	1.93E-196
DUSP14	ENSG00000276023	27.28	8.165	1.626	7.11E-115
DUSP26	ENSG00000133878	0.225	1.94	-1.263	2.24E-115
DUSP8	ENSG00000184545	3.355	10.26	-1.37	2.90E-88
DUSP8P5	ENSG00000235316	0.52	2.41	-1.166	1.53E-147
DUSP9	ENSG00000130829	3.83	0.04	2.215	1.42E-150
DUTP6	ENSG00000225171	0.59	3.17	-1.391	1.75E-128
DUXAP8	ENSG00000206195	12.095	1.25	2.541	8.38E-122
DUXAP9	ENSG00000225210	7.25	0.71	2.27	6.72E-122
DXO	ENSG00000204348	11.63	24.485	-1.013	3.61E-66
DYNC1I1	ENSG00000158560	4.69	1.13	1.418	2.37E-71
DYSF	ENSG00000135636	4.595	25.325	-2.234	2.41E-185
E2F1	ENSG00000101412	11.315	3.295	1.52	8.30E-114
E2F2	ENSG00000007968	2.53	0.59	1.151	2.32E-104
E2F7	ENSG00000165891	3.345	0.21	1.844	2.33E-174
E2F8	ENSG00000129173	2.7	0.33	1.476	2.70E-153
EBF1	ENSG00000164330	0.84	4.41	-1.556	9.31E-167
EBF4	ENSG00000088881	5.44	16.375	-1.432	1.24E-64
EBLN2	ENSG00000255423	0.4	2.28	-1.228	6.06E-119
ECE2	ENSG00000145194	22.57	2.175	2.892	9.55E-230
ECEL1P2	ENSG00000244280	0.08	9.78	-3.319	9.00E-298
ECHDC2	ENSG00000121310	34.646	115.916	-1.714	5.58E-100
ECHDC3	ENSG00000134463	8.584	18.77	-1.045	1.23E-48
ECM2	ENSG00000106823	2.43	10.475	-1.742	1.80E-106
ECT2	ENSG00000114346	35.465	5.175	2.562	9.61E-213
EDARADD	ENSG00000186197	5.545	0.31	2.321	8.87E-145
EDIL3	ENSG00000164176	7	16.065	-1.093	2.47E-36
EDN1	ENSG00000078401	8	24.831	-1.521	2.90E-67
EDN2	ENSG00000127129	2.73	0.8	1.051	4.27E-16
EDNRA	ENSG00000151617	4.315	13.39	-1.437	5.63E-86
EDNRB	ENSG00000136160	1.725	42.451	-3.995	0
EEF1A1P12	ENSG00000214199	2.6	0.3	1.47	2.05E-96
EEF1A1P9	ENSG00000249264	1.8	0.28	1.129	1.35E-125
EFCAB11	ENSG00000140025	8.475	2.45	1.458	5.26E-159
EFCAB12	ENSG00000172771	0.2	1.475	-1.044	1.09E-79
EFCAB2	ENSG00000203666	5.36	12.425	-1.078	8.14E-79
EFCC1	ENSG00000114654	0.565	12.89	-3.15	1.36E-279
EFEMP1	ENSG00000115380	36.535	166.288	-2.156	3.87E-109
EFEMP2	ENSG00000172638	27.98	80.716	-1.496	1.69E-94
EFHC1	ENSG00000096093	4.055	11.765	-1.336	4.42E-91
EFHD1	ENSG00000115468	1.91	13.69	-2.336	3.50E-84
EFNA3	ENSG00000143590	10.96	1.065	2.534	5.58E-231
EFNA4	ENSG00000243364	17.36	4.96	1.623	1.06E-198
EFR3B	ENSG00000084710	0.31	1.73	-1.059	2.32E-100
EGFL7	ENSG00000172889	20.915	203.001	-3.219	6.88E-206
EGFL8	ENSG00000241404	3.5	17.274	-2.022	4.36E-123
EGLN3	ENSG00000129521	49.345	7.135	2.63	6.46E-106
EHBP1L1	ENSG00000173442	26.235	92.254	-1.776	8.33E-108
EHD1	ENSG00000110047	24.195	53.25	-1.106	2.36E-83
EHD2	ENSG00000024422	34.919	116.117	-1.705	1.23E-103
EHF	ENSG00000135373	25.954	8.775	1.463	2.81E-62
EHHADH	ENSG00000113790	8.685	2.48	1.477	9.17E-140
EIF1AXP1	ENSG00000236698	15.32	2.665	2.155	1.78E-146
EIF1AY	ENSG00000198692	5.26	21.355	-1.836	3.57E-03
EIF1B	ENSG00000114784	38.775	78.855	-1.006	7.65E-99
EIF4E3	ENSG00000163412	4.36	12.265	-1.307	2.86E-131
EIF4EBP1	ENSG00000187840	126.114	29.681	2.051	5.04E-123
EIF5A2	ENSG00000163577	9.79	2	1.847	7.55E-125
EIF5AP4	ENSG00000234743	9.965	0.22	3.168	1.98E-262
EIF6	ENSG00000242372	213.767	87.93	1.272	5.10E-145
ELANE	ENSG00000197561	0.05	5.62	-2.656	4.96E-161
ELMO1	ENSG00000155849	10.48	31.61	-1.506	1.71E-118
ELMSAN1	ENSG00000156030	9.795	22.405	-1.116	1.04E-109
ELN	ENSG00000049540	12.61	222.536	-4.038	5.04E-169
ELOVL4	ENSG00000118402	1.745	0.29	1.089	1.29E-81
EMCN	ENSG00000164035	2.475	29.22	-3.12	1.10E-266
EME1	ENSG00000154920	5.65	1.195	1.599	6.12E-120
EME2	ENSG00000197774	3.135	11.58	-1.605	1.50E-85
EMILIN1	ENSG00000138080	24.955	86.252	-1.749	3.28E-75
EML1	ENSG00000066629	5.715	13.425	-1.103	9.02E-51
EML3	ENSG00000149499	25.975	78.978	-1.568	9.50E-125
EMP2	ENSG00000213853	60.601	213.559	-1.8	4.12E-128
EMP3	ENSG00000142227	48.406	159.122	-1.696	4.64E-124
ENAH	ENSG00000154380	55.591	26.99	1.016	1.86E-49
ENG	ENSG00000106991	33.116	265.873	-2.968	7.74E-254
ENGASE	ENSG00000167280	9.545	38.244	-1.896	4.35E-91
ENKD1	ENSG00000124074	8.23	22.59	-1.354	4.52E-109
ENO1	ENSG00000074800	1453.232	517.691	1.487	1.24E-122
ENO1P1	ENSG00000244457	2.27	0.23	1.411	1.57E-94
ENO3	ENSG00000108515	5.075	17.815	-1.631	5.50E-63
ENOSF1	ENSG00000132199	22.94	51.17	-1.124	3.78E-69
ENPEP	ENSG00000138792	1.73	6.045	-1.368	6.18E-88
ENPP2	ENSG00000136960	13.78	34.13	-1.249	2.30E-58
ENPP4	ENSG00000001561	2.905	12.285	-1.766	1.08E-137
TSPAN6	ENSG00000000003	33.225	12.09	1.387	8.05E-114
FGR	ENSG00000000938	6.63	102.479	-3.762	2.18E-275
GCLC	ENSG00000001084	62.78	12.89	2.199	2.78E-103
KLHL13	ENSG00000003096	6.785	0.93	2.012	2.93E-97
ICA1	ENSG00000003147	7.45	23.035	-1.508	1.40E-72
TFPI	ENSG00000003436	22.085	135.377	-2.563	3.27E-139
RBM5	ENSG00000003756	35.019	154.097	-2.106	9.33E-169
SLC7A2	ENSG00000003989	1.59	7.39	-1.696	1.92E-73
PLXND1	ENSG00000004399	44.145	179.276	-1.998	3.86E-167
FKBP4	ENSG00000004478	80.32	26.686	1.554	2.83E-75
RBM6	ENSG00000004534	25.445	114.662	-2.129	1.38E-140
HSPB6	ENSG00000004776	2.89	111.352	-4.852	0
PDK4	ENSG00000004799	2.165	98.53	-4.975	2.50E-260
ZMYND10	ENSG00000004838	1.005	6.585	-1.92	1.49E-59
RPAP3	ENSG00000005175	20.624	9.165	1.089	3.66E-143
FAM214B	ENSG00000005238	9.655	23.465	-1.199	3.98E-98
PRKAR2B	ENSG00000005249	2.315	7.265	-1.318	1.16E-88
MSL3	ENSG00000005302	16.805	41.136	-1.243	9.43E-105
MPO	ENSG00000005381	0.1	2.6	-1.71	4.66E-121
ITGAL	ENSG00000005844	5.525	26.385	-2.069	3.29E-126
ITGA3	ENSG00000005884	53.07	120.906	-1.173	9.51E-32
ITGA2B	ENSG00000005961	0.75	4.695	-1.702	2.85E-101
OSBPL7	ENSG00000006025	3.955	14.29	-1.626	3.69E-110
MAP3K14	ENSG00000006062	5.555	13.3	-1.125	5.65E-83
TMEM132A	ENSG00000006118	51.12	9.69	2.286	6.75E-163
ETV1	ENSG00000006468	4.89	19.3	-1.785	1.19E-89
TTC22	ENSG00000006555	10.03	2.71	1.572	1.24E-122
GGCT	ENSG00000006625	88.812	26.895	1.687	2.62E-169
TBXA2R	ENSG00000006638	0.77	4.28	-1.577	1.03E-195
IFRD1	ENSG00000006652	22.925	50.385	-1.103	1.86E-60
PNPLA4	ENSG00000006757	18.825	7.52	1.218	2.20E-98
PRSS21	ENSG00000007038	14.645	3.045	1.952	8.97E-26
GAS7	ENSG00000007237	3.81	18.385	-2.011	2.97E-158
MATK	ENSG00000007264	2.175	8.57	-1.592	6.66E-110
PAX6	ENSG00000007372	2.385	0.39	1.284	6.74E-57
RHBDF1	ENSG00000007384	15.955	78.79	-2.234	2.26E-140
LUC7L	ENSG00000007392	23.82	80.445	-1.714	1.30E-99
SELE	ENSG00000007908	0.62	2.635	-1.166	6.80E-32
FMO3	ENSG00000007933	4.66	17.42	-1.702	3.06E-36
NADK	ENSG00000008130	35.895	77.621	-1.091	3.16E-84
SPAG9	ENSG00000008294	23.375	59.28	-1.306	2.09E-110
PLEKHG6	ENSG00000008323	14.655	1.525	2.632	1.22E-174
PGLYRP1	ENSG00000008438	0.05	3.315	-2.039	2.94E-163
NFIX	ENSG00000008441	18.215	38.49	-1.039	6.53E-50
MMP25	ENSG00000008516	1.19	15.505	-2.914	4.39E-176
PKD1	ENSG00000008710	20.815	76.011	-1.82	2.42E-103
MAPK8IP2	ENSG00000008735	2.715	0.855	1.002	2.64E-56
RHOBTB2	ENSG00000008853	5.99	62.665	-3.187	1.70E-182
REV3L	ENSG00000009413	4.57	13.68	-1.398	1.28E-159
MASP2	ENSG00000009724	0.22	1.61	-1.097	1.30E-135
TRAF3IP3	ENSG00000009790	4.435	15.155	-1.572	7.28E-87
VTA1	ENSG00000009844	37.4	15.325	1.234	2.50E-151
MLXIPL	ENSG00000009950	0.975	3.885	-1.307	2.61E-41
NCAPD2	ENSG00000010292	45.26	11.595	1.877	3.62E-171
IFFO1	ENSG00000010295	3.84	36.279	-2.945	9.26E-219
GIPR	ENSG00000010310	0.75	4.095	-1.542	3.70E-98
SEMA3G	ENSG00000010319	1.425	18.485	-3.006	7.79E-240
NISCH	ENSG00000010322	18.495	76.492	-1.991	4.58E-176
STAB1	ENSG00000010327	19.805	125.465	-2.604	2.05E-161
FYN	ENSG00000010810	19.935	98.666	-2.251	1.20E-167
MRC2	ENSG00000011028	31.14	68.152	-1.105	9.13E-54
NME2	ENSG00000011052	32.46	8.705	1.786	1.04E-116
PIK3C2A	ENSG00000011405	7.975	17.305	-1.028	3.53E-91
TYROBP	ENSG00000011600	125.992	382.747	-1.595	5.69E-86
GABRA3	ENSG00000011677	2.29	0	1.718	8.44E-154
SEMA3B	ENSG00000012171	3.56	72.313	-4.007	4.07E-257
LTF	ENSG00000012223	28.984	13.677	1.031	1.52E-06
KDM5D	ENSG00000012817	3.4	32.075	-2.91	5.68E-21
PSMC4	ENSG00000013275	105.192	51.701	1.011	4.04E-91
SLC25A39	ENSG00000013306	164.391	79.489	1.039	2.82E-110
MVP	ENSG00000013364	69.637	163.199	-1.217	5.47E-90
GPRC5A	ENSG00000013588	36.116	157.717	-2.096	7.29E-77
MAMLD1	ENSG00000013619	1.42	8.5	-1.973	1.87E-147
TACC3	ENSG00000013810	32.255	13.91	1.157	1.23E-80
MDH1	ENSG00000014641	173.296	84.22	1.032	9.14E-118
MTMR11	ENSG00000014914	6.435	14.405	-1.051	6.00E-45
WAS	ENSG00000015285	6.74	27.305	-1.871	2.46E-140
RGPD5	ENSG00000015568	2.055	7.065	-1.401	2.34E-109
IGF1	ENSG00000017427	2.11	7.365	-1.427	1.26E-55
RUFY3	ENSG00000018189	12.25	39.975	-1.629	7.80E-147
SLC11A1	ENSG00000018280	9.575	300.422	-4.833	9.62E-276
VSIG2	ENSG00000019102	2.25	32.919	-3.384	6.01E-169
PHLDB1	ENSG00000019144	19.061	91.445	-2.204	1.73E-163
MARCO	ENSG00000019169	8.685	128.88	-3.745	3.93E-137
SNAI2	ENSG00000019549	28.395	10.035	1.413	2.80E-60
HGF	ENSG00000019991	1.295	12.975	-2.606	3.07E-181
ZFP64	ENSG00000020256	17.825	4.21	1.853	9.04E-199
SAMD4A	ENSG00000020577	3.27	13.89	-1.802	1.61E-119
PLEKHB1	ENSG00000021300	3.57	12.37	-1.549	1.91E-54
SPAST	ENSG00000021574	11.05	3.57	1.399	9.50E-153
OSBPL5	ENSG00000021762	7.47	26.115	-1.679	1.97E-148
FHL1	ENSG00000022267	8.945	296.009	-4.9	8.31E-296
NLRP2	ENSG00000022556	1.535	4.115	-1.013	9.90E-01
GCLM	ENSG00000023909	24.05	7.345	1.586	3.17E-74
HSD17B6	ENSG00000025423	3.29	20.227	-2.307	2.93E-126
VIM	ENSG00000026025	342.295	1292.455	-1.914	2.03E-113
RTEL1-TNFRSF6B	ENSG00000026036	1.61	9.7	-2.035	7.23E-130
FAS	ENSG00000026103	10.16	29.525	-1.452	1.55E-94
KCNG1	ENSG00000026559	4.2	0.24	2.068	2.55E-94
PRKCH	ENSG00000027075	16.79	39.041	-1.17	1.35E-113
IFNGR1	ENSG00000027697	70.47	162.027	-1.19	3.14E-83
TNFRSF1B	ENSG00000028137	11.98	44.831	-1.82	2.59E-128
HMGB3	ENSG00000029993	106.049	14.63	2.776	5.96E-221
TSSC1	ENSG00000032389	27.495	12.1	1.121	2.38E-150
PNPLA6	ENSG00000032444	26.315	89.849	-1.734	8.69E-187
FUT8	ENSG00000033170	19.48	8.755	1.07	2.64E-72
GAB2	ENSG00000033327	3.405	20.579	-2.292	1.99E-190
RNF19A	ENSG00000034677	19.46	42.115	-1.075	1.23E-68
MYOC	ENSG00000034971	0.02	3.135	-2.019	1.46E-137
FAM136A	ENSG00000035141	36.77	17.345	1.042	2.67E-117
VCL	ENSG00000035403	36.425	79.87	-1.112	3.01E-71
TIMP2	ENSG00000035862	73.807	229.102	-1.621	1.07E-96
FLT4	ENSG00000037280	2.23	20.1	-2.708	6.38E-253
METTL1	ENSG00000037897	41.61	14.175	1.49	4.76E-119
HOXC8	ENSG00000037965	1.475	0.07	1.21	1.27E-85
MSR1	ENSG00000038945	10.765	49.319	-2.097	6.03E-103
FAM65A	ENSG00000039523	21.85	90.766	-2.006	2.31E-185
RTN4R	ENSG00000040608	7.985	2.71	1.276	1.96E-86
PARP3	ENSG00000041880	9.625	20.415	-1.011	4.15E-84
TNC	ENSG00000041982	71.256	31.981	1.131	2.56E-12
FAM65C	ENSG00000042062	1.04	9.735	-2.396	5.33E-121
TDP1	ENSG00000042088	10.335	4.025	1.174	8.60E-152
ZIC2	ENSG00000043355	2.84	0.02	1.913	1.18E-120
LCP2	ENSG00000043462	13.75	51.54	-1.833	1.37E-131
GPM6B	ENSG00000046653	2.655	15.09	-2.138	3.65E-142
PREX2	ENSG00000046889	0.335	5.015	-2.172	2.21E-265
YTHDC2	ENSG00000047188	5.3	12.14	-1.06	4.67E-107
FAM214A	ENSG00000047346	12.065	27.615	-1.131	5.36E-96
SCML1	ENSG00000047634	4.03	14.035	-1.58	5.79E-103
WWC3	ENSG00000047644	10.565	28.255	-1.339	1.64E-130
MAP4	ENSG00000047849	50.186	109.083	-1.105	5.76E-107
ROS1	ENSG00000047936	1.72	14.74	-2.533	4.39E-43
TNFRSF17	ENSG00000048462	2.64	0.735	1.069	4.52E-32
LMO3	ENSG00000048540	2.18	36.894	-3.575	9.91E-152
VPS13D	ENSG00000048707	8.77	20.53	-1.14	4.14E-117
EPN3	ENSG00000049283	16.125	0.48	3.532	9.48E-257
RFC2	ENSG00000049541	42.169	14.64	1.465	1.30E-187
FOXP3	ENSG00000049768	2.225	0.5	1.104	4.39E-97
LAMC3	ENSG00000050555	3.68	37.925	-3.056	1.54E-198
FAM160A2	ENSG00000051009	14.43	39.565	-1.395	4.40E-109
RAD51	ENSG00000051180	13.745	0.88	2.971	2.86E-278
POLQ	ENSG00000051341	2.995	0.19	1.747	1.11E-156
THOC3	ENSG00000051596	73.185	13.105	2.395	4.77E-216
FNIP2	ENSG00000052795	4.735	13.145	-1.302	3.17E-109
TTC17	ENSG00000052841	26.71	55.445	-1.026	8.28E-91
FSTL4	ENSG00000053108	3.59	0.585	1.534	1.35E-75
MRTO4	ENSG00000053372	29.63	12.42	1.191	3.94E-111
KCNQ1	ENSG00000053918	4.35	13.89	-1.477	4.58E-66
RELT	ENSG00000054967	6.345	16.665	-1.266	4.27E-80
GALC	ENSG00000054983	8.735	21.06	-1.18	1.01E-104
MCOLN3	ENSG00000055732	2.805	9.08	-1.406	1.06E-63
ITIH4	ENSG00000055955	1.41	13.825	-2.621	1.08E-190
IL17RB	ENSG00000056736	1.185	4.355	-1.293	6.70E-67
SERPINB3	ENSG00000057149	30.054	0.22	4.67	1.52E-101
PKP2	ENSG00000057294	7.23	1.665	1.627	1.07E-74
LAMC2	ENSG00000058085	81.684	14.805	2.387	1.76E-85
RASGRF1	ENSG00000058335	0.855	12.57	-2.871	7.58E-60
NDC1	ENSG00000058804	11.68	3.27	1.57	5.14E-204
TBXAS1	ENSG00000059377	9.715	35.93	-1.785	2.59E-135
MXD1	ENSG00000059728	10.295	25.18	-1.213	6.37E-60
SLC2A3	ENSG00000059804	18.09	93.383	-2.306	2.83E-109
STYK1	ENSG00000060140	4.02	0.66	1.597	1.33E-153
OGFR	ENSG00000060491	25.375	54.394	-1.071	3.34E-88
PTPRU	ENSG00000060656	9.17	19.75	-1.029	6.49E-27
HDAC7	ENSG00000061273	25.839	101.219	-1.929	3.03E-169
PRDM6	ENSG00000061455	0.77	3.88	-1.463	1.89E-164
SPAG4	ENSG00000061656	12.305	5.415	1.052	9.36E-43
MRPS35	ENSG00000061794	48.706	19.385	1.286	8.04E-136
GUCY1B3	ENSG00000061918	6	14.825	-1.177	1.49E-89
MON2	ENSG00000061987	10.425	25.11	-1.192	1.39E-105
LTK	ENSG00000062524	0.57	12.165	-3.068	1.13E-167
SLC6A16	ENSG00000063127	0.535	4.165	-1.751	2.96E-181
GPC1	ENSG00000063660	117.983	23.495	2.28	4.37E-112
LIMCH1	ENSG00000064042	6.425	80.839	-3.462	4.82E-230
TSPAN32	ENSG00000064201	0.67	6.375	-2.143	2.01E-211
WISP2	ENSG00000064205	3.205	120.446	-4.852	3.61E-273
ST3GAL6	ENSG00000064225	3.73	8.505	-1.007	9.60E-64
SUGP2	ENSG00000064607	22.52	61.22	-1.403	7.05E-74
EYA2	ENSG00000064655	17.535	1.88	2.686	2.57E-102
FAR2	ENSG00000064763	2.985	9.205	-1.357	5.92E-99
SBNO2	ENSG00000064932	31.11	67.02	-1.083	2.94E-64
ZNF76	ENSG00000065029	15.475	35.794	-1.159	2.27E-93
SLC9A3R2	ENSG00000065054	33.74	298.885	-3.11	6.04E-228
WDR3	ENSG00000065183	11.62	3.68	1.431	8.28E-114
MCM10	ENSG00000065328	5.07	0.29	2.234	1.22E-236
NDUFB4	ENSG00000065518	262.231	121.132	1.108	4.49E-127
MYLK	ENSG00000065534	28.115	98.67	-1.775	4.74E-94
TMEM206	ENSG00000065600	11.565	4.315	1.241	1.10E-128
GSTO2	ENSG00000065621	12.805	4.485	1.332	3.12E-36
TLE2	ENSG00000065717	6.72	53.85	-2.829	1.53E-177
FAM107B	ENSG00000065809	18.97	39.265	-1.012	8.62E-61
ME1	ENSG00000065833	18.543	7.155	1.261	1.25E-49
TBC1D1	ENSG00000065882	22.62	51.604	-1.155	6.65E-93
MTHFD2	ENSG00000065911	80.4	34.39	1.202	1.88E-65
SLC9A7	ENSG00000065923	5.46	1.29	1.496	4.07E-141
PDE4A	ENSG00000065989	5.19	15.065	-1.376	9.13E-125
TIE1	ENSG00000066056	4.74	47.164	-3.069	4.31E-256
NGEF	ENSG00000066248	4.925	0.51	1.972	8.08E-119
SPI1	ENSG00000066336	21.22	105.349	-2.259	2.93E-152
FGFR2	ENSG00000066468	27.125	10.79	1.254	8.22E-38
KIF26A	ENSG00000066735	0.46	2.13	-1.1	2.60E-72
