Gene_name	Description	Tumor	Normal
CMSS1		39454	15465
CMTM2		0.4	6.47
CMTM5		85	1.64
CMTM8		8.54	18.99
CNFN		17255	0.96
CNIH1		113197	51996
CNN1		7285	60227
CNN3		81545	199.23
CNOT8		26.6	54.85
CNR1		0.38	3.17
CNRIP1		3.48	22875
CNTFR		0.28	2.62
CNTN1		5.08	1475
CNTN4		0.4	2.56
CNTN6		0.05	2.43
CNTNAP1		2025	9255
CNTNAP2		3.98	0.09
CNTNAP3B		1565	4.55
CNTROB		21.63	55063
COA6		61547	17325
COA7		9.73	3.87
COBL		1245	9585
COCH		5.65	0.68
COL10A1		18.82	0.36
COL11A1		10435	225
COL13A1		1585	11.56
COL14A1		4.86	18.17
COL17A1		64.01	0.58
COL1A1		408756	109061
COL21A1		1295	8345
COL3A1		424684	127769
COL4A2		72871	178669
COL4A2-AS1		0	1.1
COL4A3		0.5	15615
COL4A4		475	4.54
COL4A6		5705	1055
COL5A3		4.17	12845
COL6A1		92584	273149
COL6A2		128711	404.71
COL6A5		0.39	5.27
COL6A6		475	10925
COL7A1		61364	6135
COL8A1		13425	31806
COLEC12		2.94	21.96
COLQ		0.59	2435
COMMD2		33.02	15.21
COQ3		12765	4245
CORO1A		32.42	66.07
CORO2A		13.34	5615
CORO2B		0.57	5
CORO6		2045	19845
CORO7		12.82	45909
COX4I2		4805	50929
COX6B1		394176	184572
COX7A1		17324	77331
COX7B		156964	76.51
COX7CP1		0	4325
CP		27789	8.57
CPA3		9275	38485
CPAMD8		2.01	26365
CPB2		0.08	4245
CPEB4		4935	14.55
CPED1		1315	9135
CPLX1		0.95	6225
CPM		7045	37009
CPQ		14.29	32.3
CPSF3		32009	14.03
CPXM1		7825	2285
CR1		515	2885
CRABP2		74325	4.03
CRACR2B		4.87	27845
CRBN		12345	26205
CREB3L1		8.48	20.07
CREBRF		2.97	10.93
CREBZF		17895	45.37
CREG2		1335	0.09
CRELD1		15045	36466
CRIM1		15.89	46885
CRIP1		104256	279498
CRIP2		45191	275345
CRIPAK		1.86	11.19
CRIPT		14.81	5915
CRISPLD1		4.81	1.36
CRISPLD2		11.05	73076
CRLF1		7.38	19049
CRMP1		4.06	9315
CROCC		10.96	23631
CROCCP3		0.85	3.81
CRTAC1		2975	25725
CRY2		8585	29695
CRYAB		45474	152979
CRYGS		1585	4735
CRYM		0.76	2725
CSAD		11.94	51.31
CSAG3		1175	0
CSDC2		0.75	9.91
CSE1L		60081	20564
CSF1		11.1	38375
CSF2RA		4.43	16.29
CSF2RB		3.46	10845
CSF3		855	12.74
CSF3R		7555	185354
CSGALNACT1		3845	10965
CSGALNACT2		9.07	25475
CSNK2A1		59.28	24931
CSNK2B-LY6G5B-1181		1675	8.46
CSPG4		2.96	17125
CSPG4P12		625	2465
CSRNP1		8165	76784
CSRP1		119299	357586
CST1		16225	0
CST3		278001	648313
CST6		2955	19525
CST7		8.16	37556
CSTA		240142	27125
CSTF2		16.52	6255
CTA-212A2.1		0.22	2085
CTA-228A9.3		715	2655
CTA-276O3.4		0	1785
CTA-293F17.1		3325	0.81
CTA-363E6.2		75	1255
CTA-384D8.35		5.98	1.62
CTA-963H5.5		1.9	5685
CTA-989H11.1		1.69	0.26
CTB-113P19.4		1605	0.1
CTB-134H23.3		165	2565
CTB-13F3.1		0.88	6.66
CTB-167G5.7		0	1125
CTB-193M12.5		15.09	4.25
CTB-31N19.3		0.45	2.53
CTB-31O20.4		0.62	3.7
CTB-39G8.3		1025	5.04
CTB-50E14.5		2255	5.97
CTB-50L17.14		0.06	1.55
CTB-51J22.1		0.31	4365
CTB-55O6.12		1.38	4.18
CTB-55O6.8		2.1	6225
CTB-61M7.2		0.34	5565
CTB-63M22.1		147543	30.26
CTB-79E8.3		0	8.37
CTB-89H12.4		4.09	12.79
CTBP1-AS		0.28	1895
CTC-251I16.1		2.26	9.56
CTC-260E6.2		0.17	1.43
CTC-301O7.4		0.76	3505
CTC-338M12.4		3735	10.83
CTC-366B18.4		0.37	2.08
CTC-428H11.2		0.22	2.24
CTC-429P9.2		985	3.1
CTC-429P9.3		2775	7745
CTC-429P9.4		9.18	3605
CTC-479C5.10		415	2.19
CTC-490E21.11		435	2215
CTC-499J9.1		1.09	0
CTC-510F12.2		0.23	3905
CTC-510F12.3		105	1415
CTC-518P12.6		1.01	0
CTC-524C5.2		1.75	6.7
CTC-526N19.1		4255	1.11
CTC-529I10.1		805	4.58
CTC-529I10.2		0.93	5275
CTC-564N23.2		4855	13.49
CTC1		8.93	36.27
CTD-2006C1.2		3.34	7835
CTD-2007L18.5		0.39	1995
CTD-2008L17.1		1815	0
CTD-2010I16.1		0.44	2065
CTD-2013N17.6		0.53	2555
CTD-2013N24.2		1115	5785
CTD-2017F17.2		2325	6.89
CTD-2020K17.1		1385	11245
CTD-2021H9.3		1695	0
CTD-2026K11.1		0.1	2855
CTD-2026K11.6		0.38	2.05
CTD-2033D15.2		0.37	10.07
CTD-2033D15.3		0.28	11.25
CTD-2036P10.6		0.24	1.68
CTD-2047H16.4		0.39	2055
CTD-2135D7.5		0.12	2005
CTD-2147F2.1		2625	0
CTD-2192J16.22		2505	17.71
CTD-2224J9.8		0.09	1385
CTD-2231H16.1		2.51	0.22
CTD-2235C13.1		285	2.07
CTD-2240E14.4		0.19	1415
CTD-2256P15.2		3545	0.79
CTD-2260A17.1		0.4	2
CTD-2267D19.1		0.12	1885
CTD-2270P14.1		2105	10.42
CTD-2303H24.2		1.31	6995
CTD-2319I12.4		0.83	2.87
CTD-2325P2.4		1.22	0
CTD-2368P22.1		1.51	4625
CTD-2369P2.8		0.4	2025
CTD-2373N4.3		0.35	3.35
CTD-2510F5.4		3.53	0.24
CTD-2517M22.14		1.66	5.04
CTD-2523D13.2		1.17	0
CTD-2527I21.14		0.54	4.2
CTD-2531D15.5		0.14	3.71
CTD-2537I9.12		4785	20235
CTD-2545G14.4		0	3.4
CTD-2545M3.8		0.13	2675
CTD-2562J17.6		1975	27615
CTD-2589M5.4		0	1.34
CTD-2619J13.13		2415	0.46
CTD-2647L4.4		985	5555
CTD-2647L4.5		0.03	2785
CTD-2651B20.1		0	1235
CTD-3035K23.7		0.55	6325
CTD-3064M3.3		0.24	2385
CTD-3088G3.8		0.49	4015
CTD-3092A11.1		0.66	3325
CTD-3092A11.2		2985	17.41
CTD-3128G10.6		0.77	4.08
CTD-3128G10.7		0.34	1.87
CTD-3157E16.2		5.48	13975
CTD-3184A7.4		4225	17995
CTD-3214H19.16		0	20.3
CTD-3252C9.4		12.51	40.82
CTGF		55564	220379
CTHRC1		63.41	5295
CTIF		7005	19295
CTRL		0.5	2365
CTSE		9575	33.32
CTSG		745	6.74
CTSH		221336	712698
CTSO		9.94	23.21
CTSS		73129	149245
CTSV		22579	0.54
CTSW		4125	13.73
CUL9		14.39	30899
CWC25		11165	25175
CXADR		22525	4.15
CXCL10		27405	6885
CXCL12		12665	47715
CXCL13		19619	435
CXCL14		42808	3525
CXCL16		50033	104676
CXCL17		53686	129642
CXCL2		8.29	72808
CXCL3		3015	17235
CXCL5		1.23	5025
CXCL6		3.58	595
CXCL9		19115	4755
CXCR1		205	6115
CXCR2		585	4.67
CXorf36		2.01	12785
CXorf65		0.39	2.55
CXXC1		34919	75303
CYB5A		108.09	311243
CYB5R2		32089	13.88
CYBB		11965	29065
CYBRD1		21425	90571
CYC1		162.05	71.1
CYCS		123.22	50059
CYCSP6		2555	0
CYFIP2		6.93	26339
CYGB		9.07	26085
CYP1B1-AS1		0.45	2395
CYP24A1		4435	125
CYP26A1		1265	0.1
CYP27A1		15.32	74.55
CYP2B7P		2.36	100023
CYP2C18		2155	255
CYP2D7		1.64	4645
CYP2S1		51918	5.56
CYP3A5		875	17.68
CYP4B1		4.52	145094
CYP4F11		5.35	465
CYP4F12		0.97	4
CYP4F29P		0.59	3.03
CYP4V2		4.28	12.33
CYP4Z1		0.14	1455
CYR61		45105	313.31
CYSTM1		45266	104166
CYTH1		30.78	70104
CYTH3		8.27	21925
CYTH4		5.82	24.05
CYTIP		6.54	20965
CYYR1		2925	15.2
D2HGDH		11165	28864
D4S234E		5175	865
DAAM2		1.8	16975
DAB2		13895	61375
DAB2IP		12995	29615
DACH1		0.7	3.38
DACT1		2.63	6.3
DACT2		2.34	625
DACT3		1885	9945
DAPK1		6.27	33849
DAPK2		4035	35745
DAPL1		74519	445
DARS-AS1		3.87	1.22
DARS2		15.49	5105
DAW1		0.15	1665
DBF4		13705	4.14
DBH-AS1		0.44	2815
DCAF13		41685	12.4
DCAF8		48895	107206
DCDC2		0.2	1.48
DCHS1		1.74	8.99
DCLK2		715	3575
DCN		222428	1126435
DCSTAMP		765	3915
DCTPP1		59434	17795
DCUN1D1		29065	7.43
DCUN1D3		3.5	8065
DCUN1D5		40109	14805
DDAH1		5.75	17.69
DDAH2		36026	85.07
DDIAS		6.46	0.64
DDO		0.56	2.46
DDR1		182151	45.06
DDR2		2805	14.29
DDX17		101694	306734
DDX26B		3.49	8.12
DDX3Y		5.23	34446
DDX5		308472	671735
DDX60L		4525	15.29
DEFA1		0.21	69425
DEFA1B		0.1	73922
DEFA3		0	26934
DEFA4		0	3.73
DEFB1		15235	3105
DENND1C		9.63	22099
DENND2A		1.38	13.79
DENND3		7785	115519
DENND4B		17554	63.44
DENND4C		7.72	19655
DENR		40.17	16805
DEPDC1		5.14	0.16
DEPDC1B		6.66	0.32
DERL3		31.24	9.14
DES		1485	148853
DGKD		6.78	39244
DGUOK-AS1		6595	1.76
DHCR7		58695	23995
DHFR		13555	4.9
DHFRP1		8.46	1275
DHX58		10.72	22.73
DIAPH3		2.93	0.8
DIO2		3.67	0.37
DIO3		0.21	1.98
DIO3OS		685	30969
DIP2A		9.05	25789
DIP2B		14965	6.8
DIRAS3		555	2745
DISP1		1455	9.27
DIXDC1		2355	6695
DKC1		63.95	22079
DKK1		6335	1385
DKK2		735	3.23
DKK3		53461	177.49
DLC1		3115	55115
DLEC1		0.37	3
DLEU1		8.72	3.22
DLEU1_1		3.94	795
DLG1		45155	20.95
DLG4		5.37	20695
DLGAP5		11235	0.39
DLK2		7115	0.5
DLL4		3775	17.39
DLX5		9245	175
DLX6		3.1	0
DLX6-AS1		1.55	5
DMBT1		4309	22164
DMD		2555	6.45
DMPK		12885	64455
DMRT2		5.56	1195
DMRTA2		1305	0.01
DMTF1		22985	77.95
DMXL2		9.74	37019
DNAAF1		0.69	5.66
DNAH1		1.24	9805
DNAH12		0.1	1.51
DNAH14		9.08	2.95
DNAH17		1.93	4.96
DNAI1		165	1.83
DNAI2		0.14	1.36
DNAJB11		171141	82044
DNAJC18		4325	10525
DNAJC19		55205	23325
DNAJC19P9		4.67	0.43
DNALI1		2435	13.47
DNASE1L3		2.19	8295
DNHD1		2.16	13.36
DNM2		59854	146519
DNM3		1.01	4.29
DNM3OS		0.33	1.74
DNMT3B		2.22	0.59
DOCK10		3.97	9345
DOCK11		4.52	21295
DOCK2		4815	23895
DOCK4		3.41	30404
DOCK5		3.38	14.33
DOCK6		17.31	79195
DOCK8		3.77	14935
DOCK9		27965	100687
DOK1		7.65	16.81
DOK2		5.57	28.4
DOK3		5.8	30.57
DOK4		10015	22351
DOK6		0.41	2.03
DOPEY1		3415	9415
DOT1L		7485	17869
DPCR1		0.04	2835
DPEP2		1.78	16.54
DPH1		16425	40485
DPH6		13.82	5.67
DPP3		48.15	21.77
DPP4		2.85	8.49
DPT		8555	38979
DPY19L2		0.57	2.45
DPY30		101307	45255
DPYD		7605	22555
DPYSL2		13.42	85.9
DQX1		3.99	0.23
DRAM1		15.3	45.32
DRG1		68.27	31519
DSC2		30985	3.34
DSC3		50485	0.13
DSCC1		6725	1075
DSEL		0.71	2955
DSG1-AS1		1545	0
DSG2		65032	4955
DSG3		61479	0.04
DSN1		16135	7335
DSP		129552	5
DST		74235	200012
DTD2		12895	5.67
DTHD1		0.26	1655
DTL		12.63	1.01
DTNA		4615	12.76
DTX4		7	18.7
DTYMK		38849	13.48
DUOX1		14.48	87054
DUOXA1		15985	55079
DUSP1		66.18	666.24
DUSP14		27.28	8165
DUSP26		225	1.94
DUSP8		3355	10.26
DUSP8P5		0.52	2.41
DUSP9		3.83	0.04
DUTP6		0.59	3.17
DUXAP8		12095	1.25
DUXAP9		7.25	0.71
DXO		11.63	24485
DYNC1I1		4.69	1.13
DYSF		4595	25325
E2F1		11315	3295
E2F2		2.53	0.59
E2F7		3345	0.21
E2F8		2.7	0.33
EBF1		0.84	4.41
EBF4		5.44	16375
EBLN2		0.4	2.28
ECE2		22.57	2175
ECEL1P2		0.08	9.78
ECHDC2		34646	115916
ECHDC3		8584	18.77
ECM2		2.43	10475
ECT2		35465	5175
EDARADD		5545	0.31
EDIL3		7	16065
EDN1		8	24831
EDN2		2.73	0.8
EDNRA		4315	13.39
EDNRB		1725	42451
EEF1A1P12		2.6	0.3
EEF1A1P9		1.8	0.28
EFCAB11		8475	2.45
EFCAB12		0.2	1475
EFCAB2		5.36	12425
EFCC1		565	12.89
EFEMP1		36535	166288
EFEMP2		27.98	80716
EFHC1		4055	11765
EFHD1		1.91	13.69
EFNA3		10.96	1065
EFNA4		17.36	4.96
EFR3B		0.31	1.73
EGFL7		20915	203001
EGFL8		3.5	17274
EGLN3		49345	7135
EHBP1L1		26235	92254
EHD1		24195	53.25
EHD2		34919	116117
EHF		25954	8775
EHHADH		8685	2.48
EIF1AXP1		15.32	2665
EIF1AY		5.26	21355
EIF1B		38775	78855
EIF4E3		4.36	12265
EIF4EBP1		126114	29681
EIF5A2		9.79	2
EIF5AP4		9965	0.22
EIF6		213767	87.93
ELANE		0.05	5.62
ELMO1		10.48	31.61
ELMSAN1		9795	22405
ELN		12.61	222536
ELOVL4		1745	0.29
EMCN		2475	29.22
EME1		5.65	1195
EME2		3135	11.58
EMILIN1		24955	86252
EML1		5715	13425
EML3		25975	78978
EMP2		60601	213559
EMP3		48406	159122
ENAH		55591	26.99
ENG		33116	265873
ENGASE		9545	38244
ENKD1		8.23	22.59
ENO1		1453232	517691
ENO1P1		2.27	0.23
ENO3		5075	17815
ENOSF1		22.94	51.17
ENPEP		1.73	6045
ENPP2		13.78	34.13
ENPP4		2905	12285
TSPAN6		33225	12.09
FGR		6.63	102479
GCLC		62.78	12.89
KLHL13		6785	0.93
ICA1		7.45	23035
TFPI		22085	135377
RBM5		35019	154097
SLC7A2		1.59	7.39
PLXND1		44145	179276
FKBP4		80.32	26686
RBM6		25445	114662
HSPB6		2.89	111352
PDK4		2165	98.53
ZMYND10		1005	6585
RPAP3		20624	9165
FAM214B		9655	23465
PRKAR2B		2315	7265
MSL3		16805	41136
MPO		0.1	2.6
ITGAL		5525	26385
ITGA3		53.07	120906
ITGA2B		0.75	4695
OSBPL7		3955	14.29
MAP3K14		5555	13.3
TMEM132A		51.12	9.69
ETV1		4.89	19.3
TTC22		10.03	2.71
GGCT		88812	26895
TBXA2R		0.77	4.28
IFRD1		22925	50385
PNPLA4		18825	7.52
PRSS21		14645	3045
GAS7		3.81	18385
MATK		2175	8.57
PAX6		2385	0.39
RHBDF1		15955	78.79
LUC7L		23.82	80445
SELE		0.62	2635
FMO3		4.66	17.42
NADK		35895	77621
SPAG9		23375	59.28
PLEKHG6		14655	1525
PGLYRP1		0.05	3315
NFIX		18215	38.49
MMP25		1.19	15505
PKD1		20815	76011
MAPK8IP2		2715	855
RHOBTB2		5.99	62665
REV3L		4.57	13.68
MASP2		0.22	1.61
TRAF3IP3		4435	15155
VTA1		37.4	15325
MLXIPL		975	3885
NCAPD2		45.26	11595
IFFO1		3.84	36279
GIPR		0.75	4095
SEMA3G		1425	18485
NISCH		18495	76492
STAB1		19805	125465
FYN		19935	98666
MRC2		31.14	68152
NME2		32.46	8705
PIK3C2A		7975	17305
TYROBP		125992	382747
GABRA3		2.29	0
SEMA3B		3.56	72313
LTF		28984	13677
KDM5D		3.4	32075
PSMC4		105192	51701
SLC25A39		164391	79489
MVP		69637	163199
GPRC5A		36116	157717
MAMLD1		1.42	8.5
TACC3		32255	13.91
MDH1		173296	84.22
MTMR11		6435	14405
WAS		6.74	27305
RGPD5		2055	7065
IGF1		2.11	7365
RUFY3		12.25	39975
SLC11A1		9575	300422
VSIG2		2.25	32919
PHLDB1		19061	91445
MARCO		8685	128.88
SNAI2		28395	10035
HGF		1295	12975
ZFP64		17825	4.21
SAMD4A		3.27	13.89
PLEKHB1		3.57	12.37
SPAST		11.05	3.57
OSBPL5		7.47	26115
FHL1		8945	296009
NLRP2		1535	4115
GCLM		24.05	7345
HSD17B6		3.29	20227
VIM		342295	1292455
RTEL1-TNFRSF6B		1.61	9.7
FAS		10.16	29525
KCNG1		4.2	0.24
PRKCH		16.79	39041
IFNGR1		70.47	162027
TNFRSF1B		11.98	44831
HMGB3		106049	14.63
TSSC1		27495	12.1
PNPLA6		26315	89849
FUT8		19.48	8755
GAB2		3405	20579
RNF19A		19.46	42115
MYOC		0.02	3135
FAM136A		36.77	17345
VCL		36425	79.87
TIMP2		73807	229102
FLT4		2.23	20.1
METTL1		41.61	14175
HOXC8		1475	0.07
MSR1		10765	49319
FAM65A		21.85	90766
RTN4R		7985	2.71
PARP3		9625	20415
TNC		71256	31981
FAM65C		1.04	9735
TDP1		10335	4025
ZIC2		2.84	0.02
LCP2		13.75	51.54
GPM6B		2655	15.09
PREX2		335	5015
YTHDC2		5.3	12.14
FAM214A		12065	27615
SCML1		4.03	14035
WWC3		10565	28255
MAP4		50186	109083
ROS1		1.72	14.74
TNFRSF17		2.64	735
LMO3		2.18	36894
VPS13D		8.77	20.53
EPN3		16125	0.48
RFC2		42169	14.64
FOXP3		2225	0.5
LAMC3		3.68	37925
FAM160A2		14.43	39565
RAD51		13745	0.88
POLQ		2995	0.19
THOC3		73185	13105
FNIP2		4735	13145
TTC17		26.71	55445
FSTL4		3.59	585
MRTO4		29.63	12.42
KCNQ1		4.35	13.89
RELT		6345	16665
GALC		8735	21.06
MCOLN3		2805	9.08
ITIH4		1.41	13825
IL17RB		1185	4355
SERPINB3		30054	0.22
PKP2		7.23	1665
LAMC2		81684	14805
RASGRF1		855	12.57
NDC1		11.68	3.27
TBXAS1		9715	35.93
MXD1		10295	25.18
SLC2A3		18.09	93383
STYK1		4.02	0.66
OGFR		25375	54394
PTPRU		9.17	19.75
HDAC7		25839	101219
PRDM6		0.77	3.88
SPAG4		12305	5415
MRPS35		48706	19385
GUCY1B3		6	14825
MON2		10425	25.11
LTK		0.57	12165
SLC6A16		535	4165
GPC1		117983	23495
LIMCH1		6425	80839
TSPAN32		0.67	6375
WISP2		3205	120446
ST3GAL6		3.73	8505
SUGP2		22.52	61.22
EYA2		17535	1.88
FAR2		2985	9205
SBNO2		31.11	67.02
ZNF76		15475	35794
SLC9A3R2		33.74	298885
WDR3		11.62	3.68
MCM10		5.07	0.29
NDUFB4		262231	121132
MYLK		28115	98.67
TMEM206		11565	4315
GSTO2		12805	4485
TLE2		6.72	53.85
FAM107B		18.97	39265
ME1		18543	7155
TBC1D1		22.62	51604
MTHFD2		80.4	34.39
SLC9A7		5.46	1.29
PDE4A		5.19	15065
TIE1		4.74	47164
NGEF		4925	0.51
SPI1		21.22	105349
FGFR2		27125	10.79
KIF26A		0.46	2.13
PFKP		67557	23.27
SP100		38869	89452
KLF6		30.33	122199
PPAP2A		21.27	59519
PKM		1080437	349.33
PRKCZ		17.31	57815
SYT1		2.21	0.58
NAV3		0.47	3.06
PDZD4		0.77	4.76
ROCK1		9295	24.64
HYAL2		34515	183972
RASSF1		12955	58885
FGFR3		27469	10.36
MEF2A		14405	34.22
INPP5A		11215	30.07
GRIPAP1		22.41	52521
PRR11		12155	0.93
REEP1		935	3585
RASGRP2		2685	47644
PPP2R5B		10005	21.83
PYGM		0.28	3335
PITX1		35.22	0.19
KCNAB2		8375	37765
GAL		2.93	0.18
MAOB		3.93	29.9
TGFBR3		3.1	27.55
PLA2G10		1035	4795
HES2		6785	1015
MAPK6		26.1	8665
RAB27A		16.3	35.3
PFN2		165598	19.61
FGF10		0.06	2145
FSTL3		12725	125.9
POLB		35035	16989
GBA2		21979	95404
NDST1		14295	33149
ST6GALNAC2		45494	16425
PABPC1		1445246	601115
PTPN21		3.05	17.97
MGAT4A		5.42	16165
RPS6KA2		6145	48875
VASH1		4985	14805
LMCD1		29699	142014
TRIP13		23255	1115
HLTF		14.95	5.26
SLC6A15		2.58	95
LIMS2		7.58	128199
SPEG		5.23	12.21
RHOBTB1		3.75	11.31
HMMR		7825	585
TRHDE		0.03	1.1
STK10		9945	40.53
NDE1		40.35	12745
MRVI1		2215	12.59
MCM2		46686	3.86
TP63		123635	0.51
LLGL2		28969	70526
PDE8A		9.23	25945
GSDMB		7765	17.58
PPP2R3A		5755	2.2
FERMT2		9145	57579
IGF2BP2		27734	12.14
MAP3K13		58185	15.91
TBX21		0.41	2535
FRY		3.8	33.13
MRPS34		104075	50912
PPP2R2C		10.32	0.12
MGLL		14.71	66.68
NTN4		8625	31.31
SCARF1		2635	24365
HACD3		46579	20.06
ZZEF1		6.28	20495
TXK		0.35	3025
TIPIN		8.46	3.68
NUP37		36176	10.74
GTSE1		9.09	805
FSCN1		170212	27565
PLD1		20.08	5505
WDR62		4.97	0.94
SEC31B		1405	16.71
MCM6		24466	9.18
RBMS2		6.93	36.96
UNG		42865	11.47
RGS11		0.73	10225
PLXNA2		6.32	30899
SPAG5		24.28	6425
TPD52		89691	13655
PAG1		1.74	13865
MCAM		27984	117538
STXBP2		67688	162297
UBE2T		40.83	2.96
PPP1R12B		4.86	20305
IL4R		25705	114.9
EXOSC5		32596	8935
LRCH4		21.6	97975
NAALAD2		0.26	1.8
JADE1		4.27	15.68
FGFR1		19.58	72899
FBLN1		112485	379326
ITGA8		0.87	21.66
MAP2		5375	15365
LAMP3		21.81	90493
NEBL		7.54	24975
PMS2P1		8545	3.7
ITM2A		8.21	38465
PCM1		26.36	58531
TP73		4.71	0.53
RUNX1T1		0.47	4245
SP140		2.81	6735
MKNK1		24299	61626
TNS1		14645	139.85
RAPGEF3		2305	30834
PAFAH1B3		55506	10485
EPB41L2		15655	71179
MOXD1		9645	23.23
PTPRH		1865	0.12
SCTR		1075	8495
SLC4A4		525	2.91
SESN1		8.78	28235
RBL1		4.13	1.55
NDC80		12.19	0.92
MEF2C		3.69	14.78
PTPRC		10.75	49.84
PKP1		169806	3145
LRP2		0.31	3.43
KIAA0141		25034	68595
PCDHGA2		285	1935
SMARCD3		13965	52019
EPB41L3		7405	30555
SERTAD4		5585	1265
GRHL2		19805	3755
ZNF671		1.48	4.85
SMAP2		22295	67461
HAL		0.24	2.74
GSTP1		1266867	548785
SLCO1A2		2.51	0.36
KIF3C		8.83	2.54
RAB10		127441	40204
FCN1		2.84	37.61
MYNN		17435	8.05
OVGP1		0.64	3.18
PILRA		8415	29.77
IGSF9		19.2	555
WNT11		1.76	5.12
ORC1		5.16	0.52
RAD54L		8.96	0.93
EPDR1		7355	24535
FAT2		18885	0.19
TMED2		175.38	79599
LAT2		7175	25325
PPP1R15A		39875	156064
TMPRSS11E		5835	0.03
PGS1		22406	55879
MMP2		122254	278879
SH3BP2		17485	56915
L2HGDH		3995	1.37
NID2		5735	12.51
PTHLH		87.9	0.94
PHACTR3		0.54	10095
ERGIC2		80158	28924
TFAP2C		14.46	1535
PIR		40126	18045
RFX2		5.64	13.14
METTL2A		16.18	7095
REM1		0.47	3.47
TPX2		39545	1215
TMEM40		19785	1.82
SMOX		12775	5.77
SIGLEC1		2515	14735
SLC4A11		8.59	1.86
F11		85	2.4
TESC		2295	10.86
P2RX7		1315	6199
RPLP0		2931.35	1436706
PXN		43284	100977
TRMT6		18.16	6815
TBX5		1655	18.29
ZNF302		9.02	20385
GRAMD1A		45.16	104401
FXYD3		867096	142029
HEPH		3.72	11.68
GMIP		8.7	19535
LTBP4		59245	303625
PCBP4		11235	31.17
YPEL3		45641	141395
MRPS33		81707	30.8
ICAM1		40891	167143
IRAK3		1955	17.2
TFAP4		13275	5.01
RAB11FIP3		13925	34.34
MCOLN1		16.73	44191
KIF4A		9.43	0.3
TNRC6A		9.96	23.45
PLEKHG2		11.35	38475
PITPNM2		3.48	17305
NLRC4		685	3995
PUS7		13.66	5.24
LAMB1		51971	218168
ITGA6		70095	25325
RAPGEF4		1.77	11765
MYO15A		0.62	2255
NLRP1		8.47	40631
ORC6		13.29	1.34
JPH4		0.21	1785
SLC7A8		48.74	23.43
SLC22A17		6855	16235
SEMA6A		4.93	16945
WDR76		6.42	2.51
PHGDH		61454	15615
TEKT2		0.41	2.16
UNC13D		8235	56946
VNN3		0.41	4.55
SEC22C		14.94	37965
HDAC6		22.32	58.48
KRT31		1215	0.02
FMO2		4.92	95527
MSH2		18.42	5515
TMEM38B		9195	3945
SH2D3C		4.26	51.69
SORBS1		1885	29195
TPSD1		745	6655
FKBP5		17395	92683
PGC		2545	213678
TMEM14A		58785	14.15
JAK2		3.36	11085
PCSK5		2.28	5815
ERMP1		17.39	7995
NRP1		16295	51069
HSD17B7P2		1.85	5875
PRTFDC1		8.71	3465
PALMD		5645	21295
H2AFY2		22195	5.68
MAST3		2975	8215
MZF1		6705	29956
MYO9B		35351	108947
PRKY		0.7	3.97
IZUMO4		2745	7.2
RASSF7		20815	50655
GADD45B		26985	232251
PALM		5715	27.91
RANBP1		198197	60921
LZTR1		24225	52991
MMP11		52461	0.88
SMARCB1		86704	38715
P2RX6		0.24	1545
SUSD2		4595	86.44
YPEL1		0.88	3315
SNRPD3		152725	71699
PES1		77907	35095
GGT1		12455	48873
PRODH		15.02	35108
PPM1F		10.87	25.39
MFNG		5.23	30875
LRP5L		3595	9.02
SH3BP1		40579	14.06
PIK3IP1		23865	50975
GCAT		15145	6155
GGTLC2		0.03	1095
MICALL1		37415	14.58
TTC28		2.88	9.13
TPTEP1		1225	8.16
TCF20		20.23	8.62
TOMM22		89105	27805
TIMP3		54.52	585692
SUN2		59624	134079
HMOX1		30709	73574
MCM5		60275	17.76
TTLL12		50765	13.08
PDGFB		8.61	25584
FOXRED2		12245	3785
GRAP2		1275	5445
NCF4		8.43	39464
RANGAP1		74405	36559
PHF5A		58.84	24.43
SDR39U1		36151	73845
POLE2		7.7	1655
GNPNAT1		13835	6.1
PLEK2		13765	1.48
GSTZ1		23.78	11355
RIN3		8645	28884
SIX4		3.94	0.43
GALNT16		0.26	3215
SRSF5		141155	377425
GSKIP		16075	7.12
VRK1		17.45	6.09
PAPLN		6765	16905
NFKBIA		126031	385075
REC8		6.39	35745
NFATC4		15.18	49.43
MMP9		37135	10.75
GINS1		10.46	0.44
MYBL2		41.59	1.1
PABPC1L		15274	36911
PFDN4		55.28	20875
RAE1		37955	14.66
TUBB1		0.07	1495
SLMO2		53772	23635
SLCO4A1		3795	82486
SLC17A9		4465	14364
RASSF2		3.64	24.6
SLC52A3		5.41	0.98
RSPO4		0.34	9.41
SIRPB1		2035	11.3
FERMT1		20.78	0.69
MYL9		114769	570486
TLDC2		1.45	9.39
SAMHD1		20325	66849
PPP1R16B		1375	6.41
FAM83D		25615	3645
MAP1LC3A		22.22	65.55
PIGU		28546	11835
TNNC2		0.57	2.75
LPIN2		6.18	17385
SMCHD1		10815	24.08
MYOM1		405	1995
SMAD7		8885	33599
RNF125		0.83	2805
POLI		7.81	17435
RBBP8		36166	14.01
MXRA5		17275	3.85
PSMD10		57513	26.5
STS		2085	5655
NXT2		12625	3.96
PRPS2		32905	10.78
TLR8		0.85	3365
SUV39H1		7.89	3285
SRPX		5005	49836
SYP		865	3355
PLP2		283105	129122
RENBP		10285	32.04
RS1		0.01	1.75
TAZ		24.13	63729
PGK1		708021	249171
GATA1		0.07	1625
SMS		91826	37104
PHEX		0.53	2.13
SYTL4		4.28	17765
