SYMBOL	logFC
CTD-2256P15.2	1.344
CTD-2260A17.1	-1.1
CTD-2267D19.1	-1.365
CTD-2270P14.1	-1.879
CTD-2303H24.2	-1.791
CTD-2319I12.4	-1.08
CTD-2325P2.4	1.151
CTD-2368P22.1	-1.164
CTD-2369P2.8	-1.112
CTD-2373N4.3	-1.688
CTD-2510F5.4	1.869
CTD-2517M22.14	-1.183
CTD-2523D13.2	1.118
CTD-2527I21.14	-1.756
CTD-2531D15.5	-2.047
CTD-2537I9.12	-1.876
CTD-2545G14.4	-2.138
CTD-2545M3.8	-1.701
CTD-2562J17.6	-3.266
CTD-2589M5.4	-1.227
CTD-2619J13.13	1.226
CTD-2647L4.4	-1.723
CTD-2647L4.5	-1.878
CTD-2651B20.1	-1.16
CTD-3035K23.7	-2.241
CTD-3064M3.3	-1.449
CTD-3088G3.8	-1.751
CTD-3092A11.1	-1.382
CTD-3092A11.2	-2.208
CTD-3128G10.6	-1.521
CTD-3128G10.7	-1.099
CTD-3157E16.2	-1.208
CTD-3184A7.4	-1.862
CTD-3214H19.16	-4.413
CTD-3252C9.4	-1.63
CTGF	-1.969
CTHRC1	3.355
CTIF	-1.342
CTRL	-1.166
CTSE	-1.698
CTSG	-2.149
CTSH	-1.683
CTSO	-1.146
CTSS	-1.019
CTSV	3.937
CTSW	-1.523
CUL9	-1.052
CWC25	-1.105
CXADR	2.192
CXCL10	1.849
CXCL12	-1.834
CXCL13	3.845
CXCL14	3.275
CXCL16	-1.05
CXCL17	-1.256
CXCL2	-2.99
CXCL3	-2.183
CXCL5	-1.434
CXCL6	1.522
CXCL9	1.805
CXCR1	-2.562
CXCR2	-1.839
CXorf36	-2.195
CXorf65	-1.353
CXXC1	-1.087
CYB5A	-1.517
CYB5R2	1.153
CYBB	-1.213
CYBRD1	-2.03
CYC1	1.177
CYCS	1.283
CYCSP6	1.83
CYFIP2	-1.786
CYGB	-1.427
CYP1B1-AS1	-1.227
CYP24A1	2.272
CYP26A1	1.042
CYP27A1	-2.211
CYP2B7P	-4.91
CYP2C18	1.33
CYP2D7	-1.096
CYP2S1	3.012
CYP3A5	-3.317
CYP4B1	-4.726
CYP4F11	2.116
CYP4F12	-1.344
CYP4F29P	-1.342
CYP4V2	-1.336
CYP4Z1	-1.107
CYR61	-2.769
CYSTM1	-1.185
CYTH1	-1.162
CYTH3	-1.306
CYTH4	-1.877
CYTIP	-1.543
CYYR1	-2.045
D2HGDH	-1.296
D4S234E	1.727
DAAM2	-2.682
DAB2	-2.066
DAB2IP	-1.129
DACH1	-1.365
DACT1	-1.008
DACT2	1.039
DACT3	-1.924
DAPK1	-2.261
DAPK2	-2.867
DAPL1	5.708
DARS-AS1	1.133
DARS2	1.434
DAW1	-1.213
DBF4	1.516
DBH-AS1	-1.406
DCAF13	1.671
DCAF8	-1.117
DCDC2	-1.047
DCHS1	-1.866
DCLK2	-1.416
DCN	-2.335
DCSTAMP	-1.478
DCTPP1	1.685
DCUN1D1	1.834
DCUN1D3	-1.01
DCUN1D5	1.379
DDAH1	-1.469
DDAH2	-1.217
DDIAS	2.185
DDO	-1.149
DDR1	1.991
DDR2	-2.007
DDX17	-1.583
DDX26B	-1.022
DDX3Y	-2.508
DDX5	-1.12
DDX60L	-1.56
DEFA1	-5.863
DEFA1B	-6.09
DEFA3	-4.804
DEFA4	-2.242
DEFB1	1.984
DENND1C	-1.12
DENND2A	-2.636
DENND3	-3.729
DENND4B	-1.796
DENND4C	-1.244
DENR	1.209
DEPDC1	2.404
DEPDC1B	2.537
DERL3	1.669
DES	-5.914
DGKD	-2.371
DGUOK-AS1	1.46
DHCR7	1.256
DHFR	1.303
DHFRP1	2.056
DHX58	-1.018
DIAPH3	1.127
DIO2	1.769
DIO3	-1.3
DIO3OS	-4.246
DIP2A	-1.414
DIP2B	1.033
DIRAS3	-1.268
DISP1	-2.065
DIXDC1	-1.198
DKC1	1.493
DKK1	1.621
DKK2	-1.286
DKK3	-1.713
DLC1	-3.769
DLEC1	-1.546
DLEU1	1.204
DLEU1_1	1.461
DLG1	1.072
DLG4	-1.768
DLGAP5	3.138
DLK2	2.436
DLL4	-1.945
DLX5	3.124
DLX6	2.036
DLX6-AS1	1.343
DMBT1	-2.125
DMD	-1.067
DMPK	-2.237
DMRT2	1.579
DMRTA2	1.19
DMTF1	-1.719
DMXL2	-1.824
DNAAF1	-1.978
DNAH1	-2.27
DNAH12	-1.19
DNAH14	1.352
DNAH17	-1.024
DNAI1	-1.28
DNAI2	-1.05
DNAJB11	1.052
DNAJC18	-1.114
DNAJC19	1.208
DNAJC19P9	1.987
DNALI1	-2.075
DNASE1L3	-1.543
DNHD1	-2.184
DNM2	-1.277
DNM3	-1.396
DNM3OS	-1.043
DNMT3B	1.018
DOCK10	-1.058
DOCK11	-2.014
DOCK2	-2.098
DOCK4	-2.832
DOCK5	-1.807
DOCK6	-2.131
DOCK8	-1.74
DOCK9	-1.812
DOK1	-1.042
DOK2	-2.162
DOK3	-2.215
DOK4	-1.084
DOK6	-1.104
DOPEY1	-1.238
DOT1L	-1.153
DPCR1	-1.883
DPEP2	-2.657
DPH1	-1.251
DPH6	1.152
DPP3	1.11
DPP4	-1.301
DPT	-2.065
DPY19L2	-1.136
DPY30	1.145
DPYD	-1.453
DPYSL2	-2.591
DQX1	2.02
DRAM1	-1.507
DRG1	1.091
DSC2	2.882
DSC3	5.51
DSCC1	1.896
DSEL	-1.21
DSG1-AS1	1.348
DSG2	3.471
DSG3	5.909
DSN1	1.04
DSP	4.444
DST	-1.418
DTD2	1.059
DTHD1	-1.075
DTL	2.762
DTNA	-1.293
DTX4	-1.3
DTYMK	1.46
DUOX1	-2.508
DUOXA1	-1.723
DUSP1	-3.312
DUSP14	1.626
DUSP26	-1.263
DUSP8	-1.37
DUSP8P5	-1.166
DUSP9	2.215
DUTP6	-1.391
DUXAP8	2.541
DUXAP9	2.27
DXO	-1.013
DYNC1I1	1.418
DYSF	-2.234
E2F1	1.52
E2F2	1.151
E2F7	1.844
E2F8	1.476
EBF1	-1.556
EBF4	-1.432
EBLN2	-1.228
ECE2	2.892
ECEL1P2	-3.319
ECHDC2	-1.714
ECHDC3	-1.045
ECM2	-1.742
ECT2	2.562
EDARADD	2.321
EDIL3	-1.093
EDN1	-1.521
EDN2	1.051
EDNRA	-1.437
EDNRB	-3.995
EEF1A1P12	1.47
EEF1A1P9	1.129
EFCAB11	1.458
EFCAB12	-1.044
EFCAB2	-1.078
EFCC1	-3.15
EFEMP1	-2.156
EFEMP2	-1.496
EFHC1	-1.336
EFHD1	-2.336
EFNA3	2.534
EFNA4	1.623
EFR3B	-1.059
EGFL7	-3.219
EGFL8	-2.022
EGLN3	2.63
EHBP1L1	-1.776
EHD1	-1.106
EHD2	-1.705
EHF	1.463
EHHADH	1.477
EIF1AXP1	2.155
EIF1AY	-1.836
EIF1B	-1.006
EIF4E3	-1.307
EIF4EBP1	2.051
EIF5A2	1.847
EIF5AP4	3.168
EIF6	1.272
ELANE	-2.656
ELMO1	-1.506
ELMSAN1	-1.116
ELN	-4.038
ELOVL4	1.089
EMCN	-3.12
EME1	1.599
EME2	-1.605
EMILIN1	-1.749
EML1	-1.103
EML3	-1.568
EMP2	-1.8
EMP3	-1.696
ENAH	1.016
ENG	-2.968
ENGASE	-1.896
ENKD1	-1.354
ENO1	1.487
ENO1P1	1.411
ENO3	-1.631
ENOSF1	-1.124
ENPEP	-1.368
ENPP2	-1.249
ENPP4	-1.766
TSPAN6	1.387
FGR	-3.762
GCLC	2.199
KLHL13	2.012
ICA1	-1.508
TFPI	-2.563
RBM5	-2.106
SLC7A2	-1.696
PLXND1	-1.998
FKBP4	1.554
RBM6	-2.129
HSPB6	-4.852
PDK4	-4.975
ZMYND10	-1.92
RPAP3	1.089
FAM214B	-1.199
PRKAR2B	-1.318
MSL3	-1.243
MPO	-1.71
ITGAL	-2.069
ITGA3	-1.173
ITGA2B	-1.702
OSBPL7	-1.626
MAP3K14	-1.125
TMEM132A	2.286
ETV1	-1.785
TTC22	1.572
GGCT	1.687
TBXA2R	-1.577
IFRD1	-1.103
PNPLA4	1.218
PRSS21	1.952
GAS7	-2.011
MATK	-1.592
PAX6	1.284
RHBDF1	-2.234
LUC7L	-1.714
SELE	-1.166
FMO3	-1.702
NADK	-1.091
SPAG9	-1.306
PLEKHG6	2.632
PGLYRP1	-2.039
NFIX	-1.039
MMP25	-2.914
PKD1	-1.82
MAPK8IP2	1.002
RHOBTB2	-3.187
REV3L	-1.398
MASP2	-1.097
TRAF3IP3	-1.572
VTA1	1.234
MLXIPL	-1.307
NCAPD2	1.877
IFFO1	-2.945
GIPR	-1.542
SEMA3G	-3.006
NISCH	-1.991
STAB1	-2.604
FYN	-2.251
MRC2	-1.105
NME2	1.786
PIK3C2A	-1.028
TYROBP	-1.595
GABRA3	1.718
SEMA3B	-4.007
LTF	1.031
KDM5D	-2.91
PSMC4	1.011
SLC25A39	1.039
MVP	-1.217
GPRC5A	-2.096
MAMLD1	-1.973
TACC3	1.157
MDH1	1.032
MTMR11	-1.051
WAS	-1.871
RGPD5	-1.401
IGF1	-1.427
RUFY3	-1.629
SLC11A1	-4.833
VSIG2	-3.384
PHLDB1	-2.204
MARCO	-3.745
SNAI2	1.413
HGF	-2.606
ZFP64	1.853
SAMD4A	-1.802
PLEKHB1	-1.549
SPAST	1.399
OSBPL5	-1.679
FHL1	-4.9
NLRP2	-1.013
GCLM	1.586
HSD17B6	-2.307
VIM	-1.914
RTEL1-TNFRSF6B	-2.035
FAS	-1.452
KCNG1	2.068
PRKCH	-1.17
IFNGR1	-1.19
TNFRSF1B	-1.82
HMGB3	2.776
TSSC1	1.121
PNPLA6	-1.734
FUT8	1.07
GAB2	-2.292
RNF19A	-1.075
MYOC	-2.019
FAM136A	1.042
VCL	-1.112
TIMP2	-1.621
FLT4	-2.708
METTL1	1.49
HOXC8	1.21
MSR1	-2.097
FAM65A	-2.006
RTN4R	1.276
PARP3	-1.011
TNC	1.131
FAM65C	-2.396
TDP1	1.174
ZIC2	1.913
LCP2	-1.833
GPM6B	-2.138
PREX2	-2.172
YTHDC2	-1.06
FAM214A	-1.131
SCML1	-1.58
WWC3	-1.339
MAP4	-1.105
ROS1	-2.533
TNFRSF17	1.069
LMO3	-3.575
VPS13D	-1.14
EPN3	3.532
RFC2	1.465
FOXP3	1.104
LAMC3	-3.056
FAM160A2	-1.395
RAD51	2.971
POLQ	1.747
THOC3	2.395
FNIP2	-1.302
TTC17	-1.026
FSTL4	1.534
MRTO4	1.191
KCNQ1	-1.477
RELT	-1.266
GALC	-1.18
MCOLN3	-1.406
ITIH4	-2.621
IL17RB	-1.293
SERPINB3	4.67
PKP2	1.627
LAMC2	2.387
RASGRF1	-2.871
NDC1	1.57
TBXAS1	-1.785
MXD1	-1.213
SLC2A3	-2.306
STYK1	1.597
OGFR	-1.071
PTPRU	-1.029
HDAC7	-1.929
PRDM6	-1.463
SPAG4	1.052
MRPS35	1.286
GUCY1B3	-1.177
MON2	-1.192
LTK	-3.068
SLC6A16	-1.751
GPC1	2.28
LIMCH1	-3.462
TSPAN32	-2.143
WISP2	-4.852
ST3GAL6	-1.007
SUGP2	-1.403
EYA2	2.686
FAR2	-1.357
SBNO2	-1.083
ZNF76	-1.159
SLC9A3R2	-3.11
WDR3	1.431
MCM10	2.234
NDUFB4	1.108
MYLK	-1.775
TMEM206	1.241
GSTO2	1.332
TLE2	-2.829
FAM107B	-1.012
ME1	1.261
TBC1D1	-1.155
MTHFD2	1.202
SLC9A7	1.496
PDE4A	-1.376
TIE1	-3.069
NGEF	1.972
SPI1	-2.259
FGFR2	1.254
KIF26A	-1.1
PFKP	1.498
SP100	-1.182
KLF6	-1.975
PPAP2A	-1.442
PKM	1.626
PRKCZ	-1.684
SYT1	1.023
NAV3	-1.466
PDZD4	-1.702
ROCK1	-1.316
HYAL2	-2.381
RASSF1	-2.101
FGFR3	1.325
MEF2A	-1.193
INPP5A	-1.347
GRIPAP1	-1.193
PRR11	2.769
REEP1	-1.245
RASGRP2	-3.723
PPP2R5B	-1.053
PYGM	-1.76
PITX1	4.928
KCNAB2	-2.048
GAL	1.736
MAOB	-2.648
TGFBR3	-2.8
PLA2G10	-1.51
HES2	1.95
MAPK6	1.487
RAB27A	-1.069
PFN2	3.015
FGF10	-1.569
FSTL3	-3.209
POLB	1.002
GBA2	-2.069
NDST1	-1.159
ST6GALNAC2	1.416
PABPC1	1.264
PTPN21	-2.228
MGAT4A	-1.419
RPS6KA2	-2.803
VASH1	-1.401
LMCD1	-2.22
TRIP13	3.52
HLTF	1.349
SLC6A15	1.709
LIMS2	-3.912
SPEG	-1.084
RHOBTB1	-1.374
HMMR	2.477
TRHDE	-1.028
STK10	-1.924
NDE1	1.589
MRVI1	-2.08
MCM2	3.295
TP63	6.367
LLGL2	-1.255
PDE8A	-1.397
GSDMB	-1.084
PPP2R3A	1.078
FERMT2	-2.53
IGF2BP2	1.129
MAP3K13	1.807
TBX21	-1.326
FRY	-2.83
MRPS34	1.017
PPP2R2C	3.337
MGLL	-2.107
NTN4	-1.747
SCARF1	-2.803
HACD3	1.176
ZZEF1	-1.562
TXK	-1.576
TIPIN	1.015
NUP37	1.663
GTSE1	2.483
FSCN1	2.583
PLD1	1.696
WDR62	1.622
SEC31B	-2.88
MCM6	1.323
RBMS2	-2.259
UNG	1.815
RGS11	-2.698
PLXNA2	-2.124
SPAG5	1.768
TPD52	2.63
PAG1	-2.44
MCAM	-2.032
STXBP2	-1.249
UBE2T	3.401
PPP1R12B	-1.862
IL4R	-2.118
EXOSC5	1.758
LRCH4	-2.131
NAALAD2	-1.152
JADE1	-1.662
FGFR1	-1.844
FBLN1	-1.745
ITGA8	-3.599
MAP2	-1.36
LAMP3	-2.004
NEBL	-1.605
PMS2P1	1.022
ITM2A	-2.099
PCM1	-1.122
TP73	1.9
RUNX1T1	-1.835
SP140	-1.022
MKNK1	-1.308
TNS1	-3.17
RAPGEF3	-3.268
PAFAH1B3	2.299
EPB41L2	-2.116
MOXD1	-1.187
PTPRH	1.355
SCTR	-2.194
SLC4A4	-1.358
SESN1	-1.58
RBL1	1.008
NDC80	2.78
MEF2C	-1.75
PTPRC	-2.113
PKP1	5.365
LRP2	-1.758
KIAA0141	-1.419
PCDHGA2	-1.192
SMARCD3	-1.825
EPB41L3	-1.909
SERTAD4	1.54
GRHL2	2.129
ZNF671	-1.238
SMAP2	-1.555
HAL	-1.593
GSTP1	1.205
SLCO1A2	1.368
KIF3C	1.473
RAB10	1.64
FCN1	-3.33
MYNN	1.026
OVGP1	-1.35
PILRA	-1.708
IGSF9	3.699
WNT11	-1.149
ORC1	2.019
RAD54L	2.368
EPDR1	-1.612
FAT2	4.063
TMED2	1.13
LAT2	-1.687
PPP1R15A	-1.942
TMPRSS11E	2.73
PGS1	-1.281
MMP2	-1.183
SH3BP2	-1.648
L2HGDH	1.076
NID2	-1.004
PTHLH	5.518
PHACTR3	-2.849
ERGIC2	1.439
TFAP2C	2.608
PIR	1.111
RFX2	-1.09
METTL2A	1.086
REM1	-1.604
TPX2	4.194
TMEM40	2.882
SMOX	1.025
SIGLEC1	-2.162
SLC4A11	1.745
F11	-1.648
TESC	-1.848
P2RX7	-1.637
RPLP0	1.028
PXN	-1.203
TRMT6	1.294
TBX5	-2.861
ZNF302	-1.094
GRAMD1A	-1.191
FXYD3	2.602
HEPH	-1.426
GMIP	-1.082
LTBP4	-2.338
PCBP4	-1.395
YPEL3	-1.61
MRPS33	1.379
ICAM1	-2.005
IRAK3	-2.623
TFAP4	1.248
RAB11FIP3	-1.244
MCOLN1	-1.35
KIF4A	3.004
TNRC6A	-1.158
PLEKHG2	-1.676
PITPNM2	-2.031
NLRC4	-1.568
PUS7	1.232
LAMB1	-2.049
ITGA6	1.433
RAPGEF4	-2.204
MYO15A	-1.007
NLRP1	-2.136
ORC6	2.61
JPH4	-1.203
SLC7A8	1.026
SLC22A17	-1.134
SEMA6A	-1.597
WDR76	1.08
PHGDH	1.91
TEKT2	-1.164
UNC13D	-2.65
VNN3	-1.977
SEC22C	-1.29
HDAC6	-1.351
KRT31	1.119
FMO2	-4.027
MSH2	1.576
TMEM38B	1.044
SH2D3C	-3.324
SORBS1	-3.388
TPSD1	-2.133
FKBP5	-2.349
PGC	-5.92
TMEM14A	1.98
JAK2	-1.471
PCSK5	-1.055
ERMP1	1.032
NRP1	-1.59
HSD17B7P2	-1.27
PRTFDC1	1.121
PALMD	-1.746
H2AFY2	1.796
MAST3	-1.213
MZF1	-2.006
MYO9B	-1.597
PRKY	-1.548
IZUMO4	-1.131
RASSF7	-1.244
GADD45B	-3.059
PALM	-2.106
RANBP1	1.686
LZTR1	-1.098
MMP11	4.83
SMARCB1	1.143
P2RX6	-1.037
SUSD2	-3.966
YPEL1	-1.199
SNRPD3	1.08
PES1	1.128
GGT1	-1.89
PRODH	-1.172
PPM1F	-1.153
MFNG	-2.355
LRP5L	-1.125
SH3BP1	1.465
PIK3IP1	-1.064
GCAT	1.174
GGTLC2	-1.024
MICALL1	1.302
TTC28	-1.384
TPTEP1	-2.042
TCF20	1.142
TOMM22	1.645
TIMP3	-3.402
SUN2	-1.156
HMOX1	-1.234
MCM5	1.708
TTLL12	1.878
PDGFB	-1.468
FOXRED2	1.469
GRAP2	-1.502
NCF4	-2.101
RANGAP1	1.005
PHF5A	1.235
SDR39U1	-1.011
POLE2	1.712
GNPNAT1	1.063
PLEK2	2.574
GSTZ1	1.004
RIN3	-1.632
SIX4	1.789
GALNT16	-1.742
SRSF5	-1.413
GSKIP	1.072
VRK1	1.38
PAPLN	-1.205
NFKBIA	-1.604
REC8	-2.314
NFATC4	-1.64
MMP9	1.698
GINS1	2.992
MYBL2	4.342
PABPC1L	-1.22
PFDN4	1.363
RAE1	1.315
TUBB1	-1.221
SLMO2	1.153
SLCO4A1	-4.122
SLC17A9	-1.491
RASSF2	-2.464
SLC52A3	1.695
RSPO4	-2.958
SIRPB1	-2.019
FERMT1	3.688
MYL9	-2.303
TLDC2	-2.084
SAMHD1	-1.67
PPP1R16B	-1.642
FAM83D	2.519
MAP1LC3A	-1.519
PIGU	1.203
TNNC2	-1.256
LPIN2	-1.356
SMCHD1	-1.086
MYOM1	-1.092
SMAD7	-1.807
RNF125	-1.056
POLI	-1.065
RBBP8	1.308
MXRA5	1.914
PSMD10	1.089
STS	-1.109
NXT2	1.458
PRPS2	1.525
TLR8	-1.238
SUV39H1	1.053
SRPX	-3.082
SYP	-1.224
PLP2	1.127
RENBP	-1.55
RS1	-1.445
TAZ	-1.365
PGK1	1.503
GATA1	-1.295
SMS	1.285
PHEX	-1.033
SYTL4	-1.829
KIAA0226L	-1.161
NDFIP2	1.163
KLF5	2.101
SGCG	-1.739
FLT1	-1.495
RGCC	-4.286
MEDAG	-1.374
TSC22D1	-1.241
MSLN	-3.398
MGRN1	-1.001
HSF4	-1.352
GDPD3	-1.475
NFAT5	-1.086
PLLP	-2.324
ZNF423	-1.246
NDRG4	-1.006
HAS3	3.427
SLC7A6	-1.115
TAF1C	-1.684
WFDC1	-3.174
TSC2	-1.032
FOXF1	-3.463
HAGHL	-1.012
SLC7A5	2.937
MEFV	-2.092
PIEZO1	-1.409
RRN3P2	-1.524
QPRT	-1.051
MAZ	1.03
STX4	-1.117
KAT8	-1.111
TMC5	-2.196
KNOP1	1.291
HERC1	-1.364
RASL12	-3.143
HOMER2	1.21
ZNF106	-1.142
RHOV	4.363
OIP5	2.746
MYEF2	-1.15
LAPTM4B	1.886
IKBKB	-1.133
ESRP1	1.875
NDRG1	1.499
NCALD	-1.612
GSDMD	-1.05
PYCRL	1.374
GSR	1.024
ERICH1	-1.331
TUSC3	1.097
MCM4	3.148
FCGRT	-1.626
RNASEH2A	2.269
KLC3	2.511
LYL1	-1.863
RETN	-4.102
IL4I1	1.617
TLE6	-1.07
NOVA2	-2.629
LILRB1	-1.906
LILRA1	-1.551
TNNT1	2.082
RASAL3	-2.185
SYDE1	-1.788
FBL	1.436
GPI	1.684
PRX	-4.226
SLC1A5	1.163
TJP3	-1.625
ICAM4	-1.166
NKG7	-1.516
ICAM5	-2.68
TYK2	-1.489
PLA2G4C	-2.038
SIGLEC5	-1.424
LPPR2	-1.327
RASIP1	-3.297
MIER2	-1.064
PLEKHA4	-1.079
LILRB5	-2.374
JAK3	-1.508
PIK3R2	1.386
PDE4C	-1.495
HAMP	1.08
LSR	2.081
HPN	-2.088
SCN1B	-1.509
PBX4	-1.385
SIPA1L3	1.081
RASA4	-1.429
PON2	-1.373
ITGB8	1.983
STEAP1B	1.216
MPP6	1.209
TFEC	-2.008
H2AFV	1.144
MET	1.515
WNT2	-1.722
HOXA1	1.498
HOXA5	-2.309
TSPAN12	-1.997
SSBP1	1.087
NOD1	-1.745
FAM188B	-1.354
NSUN5P2	-1.022
HSPB1	1.601
NUDT1	2.031
PTPRZ1	3.387
PCOLCE	-1.171
LSM5	1.29
RPA3	1.27
GLCCI1	-1.1
TMEM106B	1.397
EZH2	1.633
ZNF862	-1.234
MEOX2	-2.643
POU6F2	1.394
RARRES2	-1.823
GIMAP2	-1.359
POLD2	1.132
SPATA6L	-1.349
SLC1A1	-2.204
LHX2	1.165
PRUNE2	-1.79
OGN	-3.087
NCS1	1.353
TYRP1	-1.284
MPDZ	-1.811
PIP5K1B	-2.228
NPDC1	-2.769
SH3GL2	-1.027
PTGDS	-3.372
EXOSC3	1.071
ZFAND5	-1.058
RASSF4	-1.465
RAB11FIP2	-1.016
PALD1	-2.476
SPOCK2	-2.899
SFXN3	-2.017
NPM3	2.294
FBXL15	-1.271
MAP3K8	-2.37
GLRX3	1.181
TFAM	1.088
UBE2S	2.759
PPIF	1.255
TBC1D12	-1.218
KRT23	1.179
RAPGEFL1	1.406
RGS9	-1.587
RNF43	1.51
SEP4	-2.959
P2RX1	-2.582
TRIM16L	1.743
PIGL	-1.428
RASD1	-1.615
SLC6A4	-4.858
ICAM2	-2.794
PSMD11	1.319
HSD17B1	1.482
EZH1	-2.023
SGCA	-3.775
HDAC5	-1.115
LUC7L3	-1.301
HLF	-1.165
FAM20A	-1.532
WSB1	-2.216
SLC9A3R1	2.646
VTN	-1.026
PMP22	-2.516
FOXN1	1.589
NMU	2.201
GAB1	-1.131
WFS1	-2.004
GALNT7	1.098
SOD3	-3.879
TRIM2	1.395
NEIL3	1.539
SH3D19	-1.964
RAPGEF2	-1.792
SNX25	-1.696
LRP2BP	-1.957
FAM149A	-1.686
NCAPG	2.653
UGDH	1.402
PPARGC1A	-1.48
ZBTB16	-4.516
MTCH2	1.553
FNBP4	-1.476
VWA5A	-1.047
LPXN	-1.134
MS4A6A	-1.017
MS4A4A	-1.803
PRPF19	1.257
TRIM3	-2.272
FOLR1	-3.899
FOLR3	-1.83
IL10RA	-1.699
GALNT18	-1.684
PVRL1	4.474
SLC15A3	-1.181
MDK	2.586
MADD	-1.36
SLC35F2	1.487
TCIRG1	-2.232
POU2AF1	1.313
VWF	-3.302
SELPLG	-1.706
IL23A	1.076
LIN7A	-1.926
TNS2	-3.798
LTA4H	-1.079
MAGOHB	1.419
TRPV4	2.14
FOXM1	3.886
MYL2	-2.036
RAD51AP1	2.744
SH2B3	-1.732
SCNN1A	-1.125
MGP	-3.143
RASAL1	1.718
GTF2H3	1.093
SLC38A1	1.245
RERGL	-1.699
FZD10	1.647
RFC5	1.557
STX2	-1.938
TIMELESS	1.606
MRPL51	1.096
GAPDH	2.219
GNB3	-1.022
USP5	1.06
TPI1	1.623
PHC1	-1.275
KLRB1	-1.34
PAK1IP1	1.238
NEDD9	-2.269
FAM184A	-2.23
MAN1A1	-1.542
SERINC1	-1.038
TPD52L1	2.725
FAM65B	-2.715
SASH1	-2.35
FBXO5	1.256
FANCE	1.245
MCM3	1.266
PHACTR1	-2.107
FHL5	-3.085
KHDRBS2	-1.349
VNN1	-1.188
VNN2	-2.643
GMNN	1.674
SOBP	-1.151
PERP	3.953
PHACTR2	-1.341
PHF1	-1.289
TTK	3.043
LAMA4	-2.383
LY86	-1.186
TBX18	1.146
SEMA5A	-1.492
NME5	-1.341
KIF20A	3.081
MRPS30	1.294
HBEGF	-1.316
PDE8B	-1.686
PCDHB15	-1.325
ITK	-1.637
LMNB1	1.777
SUB1	1.148
NPR3	-1.054
TARS	1.428
IRX4	1.077
PDE4D	-1.425
PCDH12	-2.133
NUP155	1.602
PPWD1	-1.251
LIFR	-2.595
WWC1	-1.221
PDGFRB	-2.323
HRH2	-1.193
TBCCD1	1.047
NPHP3	-1.357
FAM162A	2.118
PCCB	1.469
RBP2	-2.048
RBP1	1.96
RNF7	1.18
TFDP2	1.262
KAT2B	-1.632
PDCD10	1.376
WNT5A	1.824
FGF12	1.695
USP4	-1.017
GNAI2	-1.231
USP9Y	-2.601
HYAL1	-2.988
FXR1	1.324
UMPS	1.564
NCBP2	1.324
FRMD4B	-1.112
PODXL2	2.394
UPK1B	2.834
MRPL3	1.825
PLSCR4	-2.007
GORASP1	-1.601
VIPR1	-5.068
ZBTB47	-1.766
TNNC1	-4.696
NKTR	-2.766
FOXP1	-1.243
ZAP70	-2.077
STEAP3	1.066
EPB41L5	-1.11
SF3B6	1.014
GPD2	1.033
TANC1	-1.288
PSMD14	1.473
PPM1G	1.004
SPTBN1	-2.46
GALNT3	1.588
EVA1A	-1.308
MRPL19	1.355
FN1	-1.377
STAT1	1.033
GLS	-1.08
IGFBP2	3.097
OTX1	2.436
GNLY	-1.594
ST3GAL5	-2.161
HSPE1	1.336
IL1R2	-1.833
IL1R1	-2.099
IL1RL1	-5.864
IL18R1	-3.2
IL18RAP	-3.157
FHL2	1.19
MLPH	-3.511
ID2	-1.764
HPCAL1	-1.906
ODC1	1.32
NOL10	1.116
RMDN2	-1.027
SDC1	2.861
SLC1A4	1.941
WIPF1	-1.058
PNO1	1.372
PLEK	-1.364
TRAK2	-1.093
EPAS1	-3.89
MSH6	1.525
PARD3B	-1.69
FARSB	1.045
MARK1	1.689
GPX7	1.126
RALGPS2	1.08
MRPL37	1.031
QSOX1	-1.592
ERRFI1	-1.276
RHOU	-1.743
MEF2D	-1.201
LEPR	-2.318
PRG4	-3.753
NCF2	-1.947
RGS2	-1.651
UCHL5	1.113
SRSF11	-1.43
OLFML3	-1.752
ZBTB17	-1.182
TTF2	1.057
NR5A2	-1.003
KIF21B	-1.38
RP11-268J15.5	-1.721
NID1	-1.414
MYCL	1.93
RIMS3	-1.153
ST6GALNAC5	-1.403
PADI2	-1.11
MFAP2	1.628
SSX2IP	1.446
PLA2G2D	1.542
GBP3	-1.026
KIF17	-2.191
ID3	-1.487
SLC2A1	5.351
PIK3R3	-1.202
SLC19A2	-1.247
FAAH	-1.179
F3	-1.027
PTBP2	-1.008
HSD11B1	-2.628
IRF6	3.531
RSRP1	-2.273
STMN1	2.204
MAN1C1	-1.778
NEK2	3.571
STX12	-1.519
MAR2	-2.292
SLC5A9	-2.187
RCN2	1.221
KIF14	1.731
TNNT2	-2.609
MREG	1.408
USP35	-1.039
FILIP1	-1.964
SGIP1	-2.208
PLAGL1	-1.686
TNFAIP3	-1.111
RNF146	-1.521
TCF21	-4.855
SLC16A7	-1.044
PKD2	-1.354
SPP1	5.212
FAM47E-STBD1	-1.314
RARRES1	-1.032
UCHL3	1.179
PCDH17	-1.732
GDA	1.482
KLF9	-3.029
TJP2	-1.269
SET	1.158
SLC46A2	-2.367
NR4A3	-2.379
PGF	1.339
LTBP2	-1.809
FLVCR2	-1.652
RBM25	-1
FKBP1B	-1.317
EPCAM	1.625
PPP1R3C	-1.566
PYROXD2	-1.538
HELLS	2.112
KCNIP2	-1.061
HOXB5	-1.358
HOXB3	-1.19
TEK	-3.517
MYCT1	-2.664
MSANTD2	-1.217
