Gene	MutSig(Q-value)	# Mut	#	Freq	Is Cancer Gene (source: OncoKB)
C11ORF16		16	16	1.9	No
CELF4		16	16	1.9	No
PARP6		16	16	1.9	No
SLC17A7		16	16	1.9	No
CPA6		16	16	1.9	No
SLC39A10		16	16	1.9	No
ZNF471		16	16	1.9	No
RBAK		16	16	1.9	No
TSKS		17	16	1.9	No
NIF3L1		16	16	1.9	No
UBE2O		17	16	1.9	No
HEATR6		17	16	1.9	No
SH2D4A		16	16	1.9	No
NFKBIZ		16	16	1.9	No
HIF3A		18	16	1.9	No
GREM2		16	16	1.9	No
TEKT3		16	16	1.9	No
GAREM1		16	16	1.9	No
MAPKAP1		16	16	1.9	Yes
RETREG2		16	16	1.9	No
IRX6		17	16	1.9	No
RIPOR1		16	16	1.9	No
GCC1		16	16	1.9	No
CEP97		17	16	1.9	No
E2F8		16	16	1.9	No
ZNF408		17	16	1.9	No
TMC7		16	16	1.9	No
UXS1		16	16	1.9	No
MOGAT2		16	16	1.9	No
PROSER1		16	16	1.9	No
RAB11FIP1		17	16	1.9	No
ZKSCAN3		16	16	1.9	No
TTYH3		16	16	1.9	No
ZBP1		16	16	1.9	No
OR10W1		19	16	1.9	No
TRIM56		16	16	1.9	No
KIF18A		16	16	1.9	No
DDX59		19	16	1.9	No
MFRP		16	16	1.9	No
USHBP1		16	16	1.9	No
SLC4A11		16	16	1.9	No
EMILIN2		16	16	1.9	No
TMEM117		20	16	1.9	No
GPT2		16	16	1.9	No
SLC7A3		16	16	1.9	No
ZNF566		16	16	1.9	No
ATG4D		17	16	1.9	No
MYLK2		18	16	1.9	No
STON2		18	16	1.9	No
TANC1		20	16	1.9	No
ZC3H12C		16	16	1.9	No
KLHL6		17	16	1.9	Yes
PLCZ1		16	16	1.9	No
FRMD7		17	16	1.9	No
NEK9		16	16	1.9	No
ARRDC4		16	16	1.9	No
BPIFB1		19	16	1.9	No
DRC1		16	16	1.9	No
FNIP1		16	16	1.9	No
ELFN2		19	16	1.9	No
SLAMF6		16	16	1.9	No
GPRASP2		16	16	1.9	No
GRIN3B		16	16	1.9	No
TMC1		20	16	1.9	No
OR5P2		16	16	1.9	No
OR4K14		17	16	1.9	No
CDYL2		16	16	1.9	No
OR1M1		16	16	1.9	No
ZNF440		16	16	1.9	No
KLHDC7A		16	16	1.9	No
PPP1R21		18	16	1.9	No
CPNE4		16	16	1.9	No
SPATA18		19	16	1.9	No
PPARGC1B		16	16	1.9	No
WDR36		16	16	1.9	No
LRGUK		16	16	1.9	No
CBLN4		18	16	1.9	No
XRRA1		16	16	1.9	No
DNHD1		16	16	1.9	No
BEST3		16	16	1.9	No
MGAT5B		16	16	1.9	No
EFCAB3		16	16	1.9	No
WIPF2		16	16	1.9	No
ZNF578		25	16	1.9	No
ZNF420		19	16	1.9	No
C22ORF42		16	16	1.9	No
DTX3L		17	16	1.9	No
NKAIN2		17	16	1.9	No
CDCA2		18	16	1.9	No
TMEM74		18	16	1.9	No
CAMSAP1		17	16	1.9	No
SAXO1		17	16	1.9	No
DENND5B		16	16	1.9	No
OTUD7A		16	16	1.9	No
PLPPR5		16	16	1.9	No
PRICKLE2		16	16	1.9	No
DDX53		16	16	1.9	No
STKLD1		16	16	1.9	No
HTR3C		17	16	1.9	No
TMEM26		16	16	1.9	No
OPN5		16	16	1.9	No
FBXL13		16	16	1.9	No
SCUBE3		16	16	1.9	No
LRRC43		16	16	1.9	No
HS6ST3		17	16	1.9	No
OR51B5		16	16	1.9	No
PGM2L1		17	16	1.9	No
B4GALNT3		17	16	1.9	No
MEIOC		18	16	1.9	No
ACTL9		16	16	1.9	No
SLC9A9		17	16	1.9	No
VN1R2		16	16	1.9	No
CHSY3		17	16	1.9	No
OR5AP2		16	16	1.9	No
TAFA2		16	16	1.9	No
ZFP57		16	16	1.9	No
SLC6A18		16	16	1.9	No
C6ORF58		17	16	1.9	No
LRRC37A3		16	16	1.9	No
SLC26A5		16	16	1.9	No
PNPLA7		16	16	1.9	No
ZNF324B		16	16	1.9	No
FEZF1		16	16	1.9	No
OR5K3		18	16	1.9	No
OR6C65		16	16	1.9	No
GPR179		16	16	1.9	No
OR14J1		17	16	1.9	No
DUXA		17	16	1.9	No
KIAA0754		16	16	1.9	No
SFTPA1		16	16	1.9	No
PRR23A		16	16	1.9	No
TEC		16	16	1.9	No
ABCB7		15	15	1.8	No
ACVR1B		15	15	1.8	Yes
ACVRL1		15	15	1.8	No
NR0B1		15	15	1.8	No
XIAP		15	15	1.8	Yes
ARHGAP5		15	15	1.8	No
STS		15	15	1.8	No
RERE		15	15	1.8	No
BLM		16	15	1.8	Yes
MYRF		16	15	1.8	No
LDLRAD4		16	15	1.8	No
CASP4		15	15	1.8	No
CBL		15	15	1.8	Yes
KRIT1		15	15	1.8	No
MS4A3		15	15	1.8	No
CD44		15	15	1.8	No
CDK8		15	15	1.8	Yes
CHRM5		15	15	1.8	No
CLCN7		15	15	1.8	No
COL16A1		15	15	1.8	No
CR1L		16	15	1.8	No
CRP		19	15	1.8	No
CX3CR1		15	15	1.8	No
CYC1		15	15	1.8	No
CYP19A1		15	15	1.8	Yes
DHCR7		15	15	1.8	No
DMRT1		15	15	1.8	No
E4F1		15	15	1.8	No
EGR2		17	15	1.8	No
EPB42		15	15	1.8	No
ERCC5		15	15	1.8	Yes
EXTL1		15	15	1.8	No
EZH2		16	15	1.8	Yes
F10		15	15	1.8	No
FCN1		15	15	1.8	No
FUT5		15	15	1.8	No
GATA1		15	15	1.8	Yes
GCKR		15	15	1.8	No
GH2		15	15	1.8	No
GHRHR		16	15	1.8	No
GHSR		15	15	1.8	No
CBLIF		16	15	1.8	No
GLS		15	15	1.8	No
GNAS		15	15	1.8	Yes
MSH6		15	15	1.8	Yes
GZMA		15	15	1.8	No
HNMT		15	15	1.8	No
HOXD12		15	15	1.8	No
HTR1B		15	15	1.8	No
HTR2A		15	15	1.8	No
HTR7		17	15	1.8	No
IL12RB1		15	15	1.8	No
IMPDH1		15	15	1.8	No
INHA		15	15	1.8	Yes
INPP5A		15	15	1.8	No
EIF3E		18	15	1.8	Yes
ISL1		15	15	1.8	No
ITGAV		15	15	1.8	No
ITGB8		16	15	1.8	No
KCNA1		16	15	1.8	No
KCNF1		15	15	1.8	No
KCNH2		15	15	1.8	No
KCNJ4		15	15	1.8	No
KCNJ16		16	15	1.8	No
KCNN3		15	15	1.8	No
KRT84		15	15	1.8	No
LAMB3		17	15	1.8	No
LLGL2		15	15	1.8	No
LTBP3		17	15	1.8	No
LTK		15	15	1.8	Yes
MC2R		15	15	1.8	No
MEIS1		15	15	1.8	No
MEOX2		15	15	1.8	No
MEP1B		15	15	1.8	No
MMP2		15	15	1.8	No
MOS		18	15	1.8	No
MSH5		15	15	1.8	No
MUC5AC		15	15	1.8	No
MYB		15	15	1.8	Yes
MYBL1		15	15	1.8	No
MYBPC2		15	15	1.8	No
NTSR1		15	15	1.8	No
OPRL1		15	15	1.8	No
PCM1		15	15	1.8	Yes
PDE6A		15	15	1.8	No
PDE6B		16	15	1.8	No
PEX12		15	15	1.8	No
VIT		15	15	1.8	No
PGM5		15	15	1.8	No
PLXNB1		15	15	1.8	No
PMS2		19	15	1.8	Yes
PNLIPRP1		17	15	1.8	No
PRKAA2		15	15	1.8	No
ALDH18A1		15	15	1.8	No
RAD21		16	15	1.8	Yes
RFX3		15	15	1.8	No
RPGR		16	15	1.8	No
RRBP1		15	15	1.8	No
ST3GAL1		15	15	1.8	No
SLC1A6		16	15	1.8	No
SLC6A4		18	15	1.8	No
SLC9A3		16	15	1.8	No
SLC9A5		15	15	1.8	No
SLC10A2		15	15	1.8	No
SP100		15	15	1.8	No
RO60		15	15	1.8	No
SSRP1		15	15	1.8	No
SS18		17	15	1.8	Yes
SULT1C2		15	15	1.8	No
SUPT5H		16	15	1.8	No
TARS		15	15	1.8	No
TERT		15	15	1.8	Yes
THBS3		15	15	1.8	No
TNNT3		16	15	1.8	No
TOP1		15	15	1.8	Yes
TTF1		16	15	1.8	No
WARS		18	15	1.8	No
WAS		15	15	1.8	Yes
WNT10B		16	15	1.8	No
ZNF3		18	15	1.8	No
ZSCAN20		15	15	1.8	No
ZNF41		17	15	1.8	No
ZNF221		17	15	1.8	No
ZNF85		15	15	1.8	No
ZNF227		15	15	1.8	No
BSND		15	15	1.8	No
NRIP1		16	15	1.8	No
LZTR1		16	15	1.8	Yes
BCAR3		15	15	1.8	No
OGT		15	15	1.8	No
GPR65		15	15	1.8	No
KHSRP		15	15	1.8	No
NRP1		15	15	1.8	No
KAT2B		15	15	1.8	No
PROZ		15	15	1.8	No
DDX18		16	15	1.8	No
CHRNA6		15	15	1.8	No
P4HA2		15	15	1.8	No
SMC3		15	15	1.8	Yes
DYRK1B		15	15	1.8	No
CACNA2D2		15	15	1.8	No
TJP2		15	15	1.8	No
NPEPPS		15	15	1.8	No
SPAG6		15	15	1.8	No
PDIA4		19	15	1.8	No
SNCAIP		15	15	1.8	Yes
PUM1		17	15	1.8	No
ZFYVE16		16	15	1.8	No
PTDSS1		18	15	1.8	No
PLEKHM1		21	15	1.8	No
LRIG2		16	15	1.8	No
P2RY14		15	15	1.8	No
OXSR1		15	15	1.8	No
TRIM10		16	15	1.8	No
RBM6		15	15	1.8	No
CALCRL		16	15	1.8	No
SRRM1		15	15	1.8	No
UBE4B		16	15	1.8	No
PRSS16		15	15	1.8	No
IKZF1		15	15	1.8	Yes
TUBB4A		15	15	1.8	No
PIAS3		15	15	1.8	No
MERTK		15	15	1.8	Yes
SEC23A		15	15	1.8	No
GLRX3		15	15	1.8	No
IFI44		15	15	1.8	No
CLDN16		15	15	1.8	No
DBF4		15	15	1.8	No
MSL3		15	15	1.8	No
IMMT		17	15	1.8	No
TENT4A		15	15	1.8	No
CAPN10		16	15	1.8	No
IRAK3		15	15	1.8	No
PADI2		15	15	1.8	No
COPG1		15	15	1.8	No
NTNG1		16	15	1.8	No
KHDC4		15	15	1.8	No
ARHGEF15		15	15	1.8	No
ELL2		18	15	1.8	No
PEG10		17	15	1.8	No
TTLL5		15	15	1.8	No
CDK19		15	15	1.8	No
FCHO1		16	15	1.8	No
PHLPP1		15	15	1.8	No
DDHD2		15	15	1.8	No
WSCD1		15	15	1.8	No
FKBP15		15	15	1.8	No
DOCK9		15	15	1.8	No
HAUS5		15	15	1.8	No
ANGEL1		16	15	1.8	No
SMG5		16	15	1.8	No
ARHGAP45		16	15	1.8	No
ADAT1		18	15	1.8	No
CEMIP2		17	15	1.8	No
OSBP2		15	15	1.8	No
PANX1		18	15	1.8	No
SHC2		15	15	1.8	No
NECTIN3		16	15	1.8	No
TTLL3		15	15	1.8	No
OR1J4		16	15	1.8	No
CNNM1		15	15	1.8	No
MYOF		16	15	1.8	No
PCOLCE2		16	15	1.8	No
OR2W1		15	15	1.8	No
OR2J2		15	15	1.8	No
RANBP6		15	15	1.8	No
SEC22A		15	15	1.8	No
TAF5L		15	15	1.8	No
TJP3		15	15	1.8	No
ZNF777		15	15	1.8	No
KLHL20		15	15	1.8	No
SULT1B1		15	15	1.8	No
IGKV3D-11		15	15	1.8	No
IGKV1D-43		16	15	1.8	No
IGKV1D-17		15	15	1.8	No
HIPK2		15	15	1.8	No
SAP30BP		15	15	1.8	No
UBN1		16	15	1.8	No
SH3KBP1		18	15	1.8	No
CD209		17	15	1.8	No
IL21R		15	15	1.8	Yes
DEF6		15	15	1.8	No
RDH8		15	15	1.8	No
MTERF3		15	15	1.8	No
SCCPDH		15	15	1.8	No
TBC1D7		18	15	1.8	No
ANAPC5		15	15	1.8	No
SRRT		15	15	1.8	No
ATP6V1H		15	15	1.8	No
RBM11		15	15	1.8	No
HMGCLL1		15	15	1.8	No
ZSCAN32		16	15	1.8	No
FEZF2		15	15	1.8	No
RFWD3		15	15	1.8	No
RAVER2		15	15	1.8	No
SPTLC3		15	15	1.8	No
GIMAP5		15	15	1.8	No
STK32B		17	15	1.8	No
STYK1		15	15	1.8	No
G2E3		15	15	1.8	No
VAC14		15	15	1.8	No
ARHGEF40		16	15	1.8	No
ST6GALNAC1		15	15	1.8	No
PCDHB15		17	15	1.8	No
ANKRD7		15	15	1.8	No
EIF4ENIF1		16	15	1.8	No
SMARCAD1		15	15	1.8	No
WDR93		15	15	1.8	No
STOX2		15	15	1.8	No
PLSCR4		15	15	1.8	No
GJD2		16	15	1.8	No
SLC24A3		15	15	1.8	No
USP28		15	15	1.8	No
ZBTB4		18	15	1.8	No
GPAM		15	15	1.8	No
ZFYVE28		16	15	1.8	No
DNASE2B		16	15	1.8	No
HRH4		15	15	1.8	No
RINT1		15	15	1.8	No
KIF13A		17	15	1.8	No
GZF1		16	15	1.8	No
SMAP2		17	15	1.8	No
ZNF574		16	15	1.8	No
ETNPPL		15	15	1.8	No
INTS3		16	15	1.8	No
GNPTAB		15	15	1.8	No
TANGO6		15	15	1.8	No
SH3TC2		15	15	1.8	No
ICE2		15	15	1.8	No
NLRX1		15	15	1.8	No
SNIP1		15	15	1.8	No
SUGCT		16	15	1.8	No
FAM124B		15	15	1.8	No
JHY		15	15	1.8	No
ZNF613		15	15	1.8	No
BTNL8		15	15	1.8	No
KIAA0319L		15	15	1.8	No
MYCT1		16	15	1.8	No
TARS2		15	15	1.8	No
CXORF21		18	15	1.8	No
KCNIP4		15	15	1.8	No
ESX1		15	15	1.8	No
FIP1L1		15	15	1.8	Yes
OR2B2		15	15	1.8	No
MED25		15	15	1.8	No
PLVAP		17	15	1.8	No
ZMIZ2		15	15	1.8	No
C3ORF20		15	15	1.8	No
SYDE2		15	15	1.8	No
SLITRK6		16	15	1.8	No
MEGF10		18	15	1.8	No
CRACR2A		16	15	1.8	No
ZNF607		15	15	1.8	No
SLC49A4		15	15	1.8	No
SLC22A16		15	15	1.8	No
DCLK3		15	15	1.8	No
GAL3ST3		15	15	1.8	No
FGD3		15	15	1.8	No
EMILIN3		15	15	1.8	No
MLIP		15	15	1.8	No
ESAM		15	15	1.8	No
DPP9		15	15	1.8	No
ZNF682		15	15	1.8	No
ANKRD44		15	15	1.8	No
COG7		15	15	1.8	No
NAF1		15	15	1.8	No
FANK1		15	15	1.8	No
LENG8		15	15	1.8	No
OSBPL8		15	15	1.8	No
TGM7		15	15	1.8	No
SNAP47		15	15	1.8	No
MRGPRX4		15	15	1.8	No
PDZD8		15	15	1.8	No
OR51L1		16	15	1.8	No
OR51F2		15	15	1.8	No
SLC36A4		15	15	1.8	No
NXPE1		15	15	1.8	No
SPIC		15	15	1.8	No
TARSL2		15	15	1.8	No
FSD2		16	15	1.8	No
SEPTIN12		17	15	1.8	No
EFCAB13		15	15	1.8	No
OR10T2		16	15	1.8	No
OR10Z1		16	15	1.8	No
FAM83C		19	15	1.8	No
TMPRSS11B		15	15	1.8	No
TAAR9		15	15	1.8	No
NOBOX		16	15	1.8	No
C9ORF131		18	15	1.8	No
OR13C8		16	15	1.8	No
KRTAP13-1		15	15	1.8	No
ASB9		17	15	1.8	No
ZFP28		15	15	1.8	No
ACTRT2		15	15	1.8	No
RIPOR3		15	15	1.8	No
GLIPR1L2		15	15	1.8	No
E2F7		15	15	1.8	No
SERPINA12		15	15	1.8	No
CARMIL2		15	15	1.8	No
ZNF417		15	15	1.8	No
SYT6		15	15	1.8	No
XKR3		15	15	1.8	No
CEP120		16	15	1.8	No
AMOTL1		15	15	1.8	No
RBM33		15	15	1.8	No
ERICH1		15	15	1.8	No
FAAH2		15	15	1.8	No
TCEAL6		16	15	1.8	No
ZNF610		15	15	1.8	No
FAM171B		15	15	1.8	No
CLEC4F		15	15	1.8	No
ZBTB49		15	15	1.8	No
CDC20B		15	15	1.8	No
KRT24		15	15	1.8	No
CCER1		16	15	1.8	No
LCTL		15	15	1.8	No
CCDC171		19	15	1.8	No
SENP5		15	15	1.8	No
OR5AR1		19	15	1.8	No
FAM13C		15	15	1.8	No
SYCP2L		15	15	1.8	No
NYAP1		15	15	1.8	No
DEFB110		17	15	1.8	No
SERPINA11		16	15	1.8	No
ARHGAP30		15	15	1.8	No
NEGR1		15	15	1.8	Yes
HSPA12A		15	15	1.8	No
P4HA3		16	15	1.8	No
OR6C6		15	15	1.8	No
PROX2		15	15	1.8	No
ZNF615		16	15	1.8	No
C3ORF70		15	15	1.8	No
SH3PXD2B		15	15	1.8	No
OR2AG2		15	15	1.8	No
TMEM202		15	15	1.8	No
LRRC30		17	15	1.8	No
GADL1		16	15	1.8	No
RSPO2		23	15	1.8	Yes
ZC3H12B		15	15	1.8	No
ZKSCAN2		15	15	1.8	No
PRAMEF10		15	15	1.8	No
XKR7		15	15	1.8	No
ECT2L		15	15	1.8	Yes
GEN1		15	15	1.8	No
DNAAF3		17	15	1.8	No
POLN		17	15	1.8	No
ATP9B		15	15	1.8	No
ZNF568		15	15	1.8	No
ERCC6L2		15	15	1.8	No
KRTAP10-7		15	15	1.8	No
RTL1		15	15	1.8	No
OR6B2		15	15	1.8	No
OR52N4		15	15	1.8	No
OR56A3		15	15	1.8	No
OR4N5		15	15	1.8	No
OR11H4		15	15	1.8	No
KLHL31		15	15	1.8	No
CENPP		15	15	1.8	No
CCDC88C		15	15	1.8	No
HBD		15	15	1.8	No
BIVM-ERCC5		15	15	1.8	No
AADAC		14	14	1.7	No
ACOX1		14	14	1.7	No
ADCY6		14	14	1.7	No
ADCY9		14	14	1.7	No
AGTR2		14	14	1.7	No
RHOH		14	14	1.7	Yes
ATP7B		14	14	1.7	No
BARD1		14	14	1.7	Yes
OPN1SW		14	14	1.7	No
BMP4		14	14	1.7	No
BPI		14	14	1.7	No
C1S		15	14	1.7	No
C3AR1		15	14	1.7	No
C4BPA		14	14	1.7	No
C5		15	14	1.7	No
CASP5		14	14	1.7	No
CD33		14	14	1.7	No
ENTPD6		14	14	1.7	No
CDX4		14	14	1.7	No
CEACAM8		14	14	1.7	No
CHRNB2		14	14	1.7	No
CHRNG		14	14	1.7	No
CLK1		14	14	1.7	No
COL9A3		14	14	1.7	No
CRX		14	14	1.7	No
CRY1		14	14	1.7	No
CRYZ		14	14	1.7	No
CSTF2		16	14	1.7	No
CYP2C19		16	14	1.7	No
DGKA		14	14	1.7	No
DHX8		14	14	1.7	No
DNMT1		14	14	1.7	Yes
DVL3		14	14	1.7	No
EPHA2		16	14	1.7	No
EPHB4		15	14	1.7	Yes
ERCC6		14	14	1.7	No
ETV6		14	14	1.7	Yes
EYA1		15	14	1.7	No
EYA2		14	14	1.7	No
FARSA		14	14	1.7	No
FCGR3A		15	14	1.7	No
FMO4		14	14	1.7	No
FPR2		14	14	1.7	No
GABRE		15	14	1.7	No
GABRR2		15	14	1.7	No
GLRB		14	14	1.7	No
GPLD1		14	14	1.7	No
GRK5		14	14	1.7	No
HAL		14	14	1.7	No
HCRTR2		14	14	1.7	No
HK1		14	14	1.7	No
HNF4A		14	14	1.7	No
HOXD4		14	14	1.7	No
HSD3B1		16	14	1.7	Yes
HSPA8		14	14	1.7	No
IFI16		14	14	1.7	No
IL5RA		16	14	1.7	No
KARS		14	14	1.7	No
KCNC3		14	14	1.7	No
KCNN1		15	14	1.7	No
KCNS2		14	14	1.7	No
KIF2A		14	14	1.7	No
LAIR1		15	14	1.7	No
LCK		14	14	1.7	Yes
ABLIM1		15	14	1.7	No
MAGEA12		14	14	1.7	No
MATK		14	14	1.7	No
MGAT3		14	14	1.7	No
MMP19		15	14	1.7	No
MMUT		15	14	1.7	No
PPP1R12B		17	14	1.7	No
NARS		14	14	1.7	No
CCN3		15	14	1.7	No
NPR2		19	14	1.7	No
NR4A2		16	14	1.7	No
OXCT1		14	14	1.7	No
PAX5		14	14	1.7	Yes
PCCA		15	14	1.7	No
PCSK1		14	14	1.7	No
PDE1B		14	14	1.7	No
PDK4		14	14	1.7	No
PEPD		14	14	1.7	No
PFKL		14	14	1.7	No
SERPINB9		14	14	1.7	No
PITX2		14	14	1.7	No
PKLR		17	14	1.7	No
PLOD1		14	14	1.7	No
PLS1		14	14	1.7	No
PNLIPRP2		14	14	1.7	No
PKN1		14	14	1.7	No
MAPK6		14	14	1.7	No
MAP2K3		14	14	1.7	No
PRSS1		14	14	1.7	Yes
PSG4		14	14	1.7	No
PYGB		14	14	1.7	No
RAB4A		14	14	1.7	No
SDHA		14	14	1.7	Yes
SFRP4		17	14	1.7	Yes
SRSF1		15	14	1.7	No
SGK1		14	14	1.7	Yes
SLC6A11		16	14	1.7	No
SLC8A2		14	14	1.7	No
SNAI1		14	14	1.7	No
SPAG1		14	14	1.7	No
STAR		14	14	1.7	No
SYT4		17	14	1.7	No
TAL1		14	14	1.7	Yes
GCFC2		14	14	1.7	No
TLE3		15	14	1.7	No
TNNI3		14	14	1.7	No
TOP2B		14	14	1.7	No
HSP90B1		14	14	1.7	No
TRAF3		15	14	1.7	Yes
UBA1		14	14	1.7	No
UGP2		14	14	1.7	No
VDR		14	14	1.7	No
VIPR2		14	14	1.7	No
WNT7A		15	14	1.7	No
XPNPEP2		14	14	1.7	No
ZNF8		14	14	1.7	No
ZNF14		14	14	1.7	No
ZNF165		14	14	1.7	No
ZNF175		16	14	1.7	No
ZNF202		14	14	1.7	No
SLC30A2		14	14	1.7	No
STAM		14	14	1.7	No
HIST1H2BF		14	14	1.7	No
PIP5K1A		14	14	1.7	No
TTF2		14	14	1.7	No
YBX3		14	14	1.7	No
STK16		14	14	1.7	No
AOC3		14	14	1.7	No
GPAA1		14	14	1.7	No
FPGT		14	14	1.7	No
CCN6		14	14	1.7	Yes
PER2		15	14	1.7	No
SGPL1		14	14	1.7	No
FUBP1		17	14	1.7	Yes
TOP3B		14	14	1.7	No
USP8		14	14	1.7	Yes
RPS6KA5		15	14	1.7	No
SLC22A13		14	14	1.7	No
MYOT		15	14	1.7	No
CHD1L		14	14	1.7	No
H6PD		14	14	1.7	No
AATK		14	14	1.7	No
SEC24C		14	14	1.7	No
IKBKE		14	14	1.7	Yes
CTR9		15	14	1.7	Yes
MARF1		14	14	1.7	No
IPO13		14	14	1.7	No
PPIP5K1		14	14	1.7	No
PHF14		14	14	1.7	No
CLSTN3		14	14	1.7	No
TOX		14	14	1.7	No
TATDN2		16	14	1.7	No
ZBTB24		17	14	1.7	No
DDX46		14	14	1.7	No
ZBED4		14	14	1.7	No
SV2A		14	14	1.7	No
NCAPD2		14	14	1.7	No
THRAP3		14	14	1.7	No
RAD50		14	14	1.7	Yes
AKAP8		14	14	1.7	No
SIRPB1		14	14	1.7	No
RXYLT1		14	14	1.7	No
PIBF1		14	14	1.7	No
SEMA6C		14	14	1.7	No
SLC34A2		14	14	1.7	Yes
IVNS1ABP		20	14	1.7	No
IGF2BP2		14	14	1.7	No
ZNF234		14	14	1.7	No
FRS2		14	14	1.7	Yes
ADAM28		14	14	1.7	No
LILRA3		14	14	1.7	No
WWP2		14	14	1.7	No
ADAM30		14	14	1.7	No
DUSP10		16	14	1.7	No
VSIG4		14	14	1.7	No
MON1B		14	14	1.7	No
DENND3		15	14	1.7	No
SLC4A1AP		14	14	1.7	No
TCF25		16	14	1.7	No
CEP131		14	14	1.7	No
CEP68		14	14	1.7	No
KANK1		14	14	1.7	No
RRP12		15	14	1.7	No
PLCL2		14	14	1.7	No
SIK2		15	14	1.7	No
DENND5A		14	14	1.7	No
OBSL1		14	14	1.7	No
NUP188		14	14	1.7	No
PIK3R5		14	14	1.7	No
OR52A1		14	14	1.7	No
ZMYND8		14	14	1.7	No
PPP1R15A		14	14	1.7	No
UBBP4		14	14	1.7	No
LMOD1		14	14	1.7	No
COG4		16	14	1.7	No
WHRN		14	14	1.7	No
PRKD2		14	14	1.7	No
SEC31B		14	14	1.7	No
PARS2		14	14	1.7	No
KRT23		14	14	1.7	No
SNED1		14	14	1.7	No
PTCD1		14	14	1.7	No
OSBPL3		14	14	1.7	No
ZNF500		17	14	1.7	No
AUTS2		14	14	1.7	No
TCTN3		14	14	1.7	No
GAPVD1		14	14	1.7	No
LATS2		14	14	1.7	Yes
OR10G2		14	14	1.7	No
OR7C2		14	14	1.7	No
CHORDC1		15	14	1.7	No
FETUB		16	14	1.7	No
NPHP3		14	14	1.7	No
SND1		14	14	1.7	Yes
B3GAT1		14	14	1.7	No
TOX3		14	14	1.7	No
IGKV1D-12		17	14	1.7	No
ACAD9		14	14	1.7	No
SLC43A3		15	14	1.7	No
C6ORF15		14	14	1.7	No
PNMA3		15	14	1.7	No
OSGIN1		14	14	1.7	No
DMGDH		14	14	1.7	No
CTAG2		17	14	1.7	No
ARHGEF4		14	14	1.7	No
TAS2R10		14	14	1.7	No
RRP15		14	14	1.7	No
ST8SIA3		18	14	1.7	No
CEP83		14	14	1.7	No
BPIFA1		14	14	1.7	No
GASK1B		17	14	1.7	No
ACTL6B		14	14	1.7	No
VGLL1		14	14	1.7	No
DCDC2		14	14	1.7	No
LARP7		14	14	1.7	No
ASB2		14	14	1.7	No
WWOX		14	14	1.7	No
TMEM8B		16	14	1.7	No
SIX4		14	14	1.7	No
TPCN1		14	14	1.7	No
PRKAG3		14	14	1.7	No
SLC37A1		14	14	1.7	No
RBM27		14	14	1.7	No
RBM47		14	14	1.7	No
DDX4		15	14	1.7	No
GNL3L		14	14	1.7	No
MANSC1		14	14	1.7	No
TRPM4		14	14	1.7	No
ZNF586		14	14	1.7	No
KANSL2		14	14	1.7	No
TMEM132A		14	14	1.7	No
ENOX1		16	14	1.7	No
RADX		14	14	1.7	No
LARP1B		14	14	1.7	No
PGM2		17	14	1.7	No
FGGY		14	14	1.7	No
RHOT1		14	14	1.7	No
LGR4		14	14	1.7	No
TRPV6		14	14	1.7	No
DDX27		14	14	1.7	No
PACS1		14	14	1.7	No
IPO9		14	14	1.7	No
BTBD7		18	14	1.7	No
ZNF701		14	14	1.7	No
SCN3B		14	14	1.7	No
PCDHGB7		17	14	1.7	No
PCDHGB6		14	14	1.7	No
TEX11		14	14	1.7	No
RNF20		14	14	1.7	No
PRMT8		14	14	1.7	No
TRIM39		14	14	1.7	No
MDM1		15	14	1.7	No
XAB2		14	14	1.7	No
TMEM63C		14	14	1.7	No
SLC45A4		14	14	1.7	No
REXO1		14	14	1.7	No
ESYT2		14	14	1.7	No
ZNF608		14	14	1.7	No
COG6		16	14	1.7	No
RPTOR		14	14	1.7	Yes
MIB1		14	14	1.7	Yes
ISLR2		20	14	1.7	No
CCDC146		15	14	1.7	No
HCN3		15	14	1.7	No
KIAA1586		15	14	1.7	No
CYP4F11		14	14	1.7	No
EXOC4		15	14	1.7	No
ALX4		14	14	1.7	No
CHTF18		14	14	1.7	No
CDH22		14	14	1.7	No
ALDH8A1		17	14	1.7	No
GIGYF1		15	14	1.7	No
IQCH		16	14	1.7	No
NIBAN2		17	14	1.7	No
RFX7		14	14	1.7	No
AGXT2		14	14	1.7	No
UPF3B		20	14	1.7	No
GDAP1L1		14	14	1.7	No
PDCL3		15	14	1.7	No
FYCO1		14	14	1.7	No
OR52N1		14	14	1.7	No
FASTKD1		14	14	1.7	No
WDR59		14	14	1.7	No
CLIP4		14	14	1.7	No
ARMC5		15	14	1.7	No
THSD4		16	14	1.7	No
PLEKHH3		14	14	1.7	No
FBXL18		15	14	1.7	No
DBF4B		14	14	1.7	No
ITPKC		17	14	1.7	No
MED28		14	14	1.7	No
PABPC1L		14	14	1.7	No
ZNF34		14	14	1.7	No
ZFP91		15	14	1.7	No
LNPK		14	14	1.7	No
OR11H1		14	14	1.7	No
GFOD2		14	14	1.7	No
SPACA1		14	14	1.7	No
SBF2		14	14	1.7	No
PUS7L		14	14	1.7	No
FAM107B		14	14	1.7	No
ESYT3		14	14	1.7	No
SLF1		14	14	1.7	No
ADGRA1		14	14	1.7	No
FRMPD3		14	14	1.7	No
ACSS1		15	14	1.7	No
HAVCR2		14	14	1.7	No
NFATC2IP		14	14	1.7	No
ZNF341		15	14	1.7	No
